player_name,name_adjusted,event_name,course_name,h1,h2,h3,h4,h1_year,h2_year,h3_year,h4_year,rf1,rf2,rf3,rf4,rf5,rf6,rf7,cut_streak,avg_finish_course,starts_at_course,value,value_avg,value_rank,salary,s1,s2,s3,s4,s5,key_stat_1,key_stat_2,key_stat_3,key_stat_4,key_stat_5,ch_rank
"Scott, Adam","Scott, Adam",TOUR Championship,East Lake Golf Club,—,4,—,25,2025,2024,2023,2022,16 (+0.81),12 (+1.26),9 (+0.98),66 (+1.07),65 (+0.31),CUT (+0.99),12 (+1.26),5,14.5,3,6.69,0.96,14,,12.0,7.0,7.0,,17.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,14.0
"Henley, Russell","Henley, Russell",TOUR Championship,East Lake Golf Club,2,4,14,—,2025,2024,2023,2022,12 (+0.11),30 (+0.55),20 (+1.27),9 (+1.15),12 (+1.11),65 (+1.46),22 (+0.98),8,6.666666666666667,3,6.63,0.95,15,,25.0,21.0,6.0,,22.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,4.0
"Kim, Tom","Kim, Tom",TOUR Championship,East Lake Golf Club,—,—,20,—,2025,2024,2023,2022,28 (+0.36),12 (+0.22),5 (+1.24),20 (+1.25),CUT (+0.67),1 (+2.33),46 (+0.51),4,20.0,1,6.58,0.94,16,,15.0,9.0,20.0,,13.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,19.0
"Rose, Justin","Rose, Justin",TOUR Championship,East Lake Golf Club,21,—,—,—,2025,2024,2023,2022,22 (+0.72),39 (+0.75),CUT (+1.51),25 (-0.57),11 (+1.08),CUT (+1.85),12 (+0.64),2,21.0,2,5.97,0.85,17,,19.0,13.0,3.0,,23.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,21.0
"Gotterup, Chris","Gotterup, Chris",TOUR Championship,East Lake Golf Club,10,—,—,—,2025,2024,2023,2022,4 (+0.39),30 (+0.47),CUT (+0.08),18 (+1.94),11 (+1.89),1 (+1.83),30 (-0.68),2,10.0,1,5.92,0.85,18,,24.0,19.0,12.0,,11.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,8.0
"Clark, Wyndham","Clark, Wyndham",TOUR Championship,East Lake Golf Club,—,8,3,—,2025,2024,2023,2022,1 (+0.45),5 (+0.18),CUT (+0.67),CUT (+0.19),13 (+1.75),5 (+0.35),1 (+1.82),2,5.5,2,5.41,0.77,19,,23.0,25.0,1.0,,15.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,3.0
"Spaun, J.J.","Spaun, J.J.",TOUR Championship,East Lake Golf Club,25,—,—,—,2025,2024,2023,2022,22 (-0.02),34 (+0.21),50 (+1.33),40 (+1.24),44 (-0.07),7 (+0.08),CUT (+2.30),6,25.0,1,5.07,0.72,20,,14.0,18.0,21.0,,9.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,22.0
"Bridgeman, Jacob","Bridgeman, Jacob",TOUR Championship,East Lake Golf Club,27,—,—,—,2025,2024,2023,2022,9 (+0.76),30 (+1.26),26 (+1.24),28 (+0.48),26 (+1.23),47 (-0.74),39 (+0.50),9,27.0,1,4.73,0.68,21,,16.0,24.0,5.0,,25.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,23.0
"Bhatia, Akshay","Bhatia, Akshay",TOUR Championship,East Lake Golf Club,13,26,—,—,2025,2024,2023,2022,12 (-0.45),68 (-0.27),CUT (+1.22),CUT (+0.79),5 (+0.96),17 (+1.59),CUT (-0.41),2,19.5,2,3.43,0.49,22,,29.0,29.0,13.0,,26.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,18.0
"Kim, Si Woo","Kim, Si Woo",TOUR Championship,East Lake Golf Club,—,—,20,—,2025,2024,2023,2022,33 (-0.48),2 (-0.06),42 (-0.09),6 (+0.56),9 (+1.19),44 (+0.03),CUT (+0.59),6,20.0,1,1.75,0.25,23,,13.0,10.0,28.0,,2.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,19.0
"Woodland, Gary","Woodland, Gary",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,4 (+0.77),42 (-0.63),10 (+1.18),CUT (-0.69),71 (-0.91),7 (+1.31),36 (+0.35),3,,1,1.38,0.2,24,,5.0,14.0,10.0,,21.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Smalley, Alex","Smalley, Alex",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,16 (-0.08),24 (-0.81),7 (+1.07),53 (+0.41),CUT (+0.63),47 (+0.37),CUT (-0.97),4,,0,0.63,0.09,25,,20.0,8.0,15.0,,19.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Gerard, Ryan","Gerard, Ryan",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,16 (-1.36),24 (+0.79),CUT (-0.52),8 (+0.91),9 (+1.20),26 (+0.03),44 (-0.74),2,,0,0.3,0.04,26,,7.0,12.0,26.0,,20.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Fox, Ryan","Fox, Ryan",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,47 (-2.11),58 (-1.14),1 (+0.91),30 (+0.55),66 (-0.87),23 (+0.21),8 (+2.57),12,,0,0.12,0.02,27,,28.0,28.0,9.0,,27.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Fitzpatrick, Alex","Fitzpatrick, Alex",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,44 (-1.40),61 (-1.66),61 (-0.07),71 (+0.54),CUT (-1.00),7 (+1.77),23 (+1.39),4,,0,-0.42,-0.06,28,,1.0,5.0,24.0,,10.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Reitan, Kristoffer","Reitan, Kristoffer",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,22 (+0.10),58 (-1.41),18 (+1.24),CUT (+0.66),22 (+0.77),CUT (-2.10),60 (-0.50),3,,0,-1.24,-0.18,29,,17.0,22.0,16.0,,29.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
"Lee, Min Woo","Lee, Min Woo",TOUR Championship,East Lake Golf Club,—,—,—,—,2025,2024,2023,2022,47 (-1.65),55 (-0.74),59 (+0.24),2 (+0.25),62 (-0.35),CUT (+1.41),CUT (-1.55),5,,0,-2.4,-0.34,30,,9.0,23.0,11.0,,16.0,TOTAL DRIVING,BALL STRIKING,PAR 5 SCORING,BIRDIE TO BOGEY RATIO,STROKES GAINED TEE TO GREEN,
