player_name,name_adjusted,event_name,course_name,h1,h2,h3,h4,h1_year,h2_year,h3_year,h4_year,rf1,rf2,rf3,rf4,rf5,rf6,rf7,cut_streak,avg_finish_course,starts_at_course,value,value_rank,salary,s1,s2,s3,s4,s5,key_stat_1,key_stat_2,key_stat_3,key_stat_4,key_stat_5,ch_rank
"Malnati, Peter","Malnati, Peter",Wyndham Championship,SEDGEFIELD,62,CUT,CUT,27,2025,2024,2023,2022,58,CUT,19,53,CUT,63,65,1,72.25,9,-1.13,113,,120.0,77.0,123.0,123.0,35.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,70.0
"Im, Sungjae","Im, Sungjae",Wyndham Championship,SEDGEFIELD,27,41,14,2,2025,2024,2023,2022,71,30,43,32,CUT,9,CUT,4,21.0,7,-1.15,114,,115.0,94.0,82.0,44.0,106.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,13.0
"Wu, Dylan","Wu, Dylan",Wyndham Championship,SEDGEFIELD,—,CUT,51,CUT,2025,2024,2023,2022,CUT,72,45,CUT,CUT,CUT,CUT,0,83.66666666666667,3,-1.16,115,,44.0,76.0,54.0,82.0,80.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,78.0
"Highsmith, Joe","Highsmith, Joe",Wyndham Championship,SEDGEFIELD,CUT,CUT,—,—,2025,2024,2023,2022,CUT,70,CUT,CUT,CUT,67,33,0,100.0,2,-1.2,116,,78.0,88.0,116.0,103.0,48.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Hojgaard, Rasmus","Hojgaard, Rasmus",Wyndham Championship,SEDGEFIELD,34,—,—,—,2025,2024,2023,2022,CUT,62,65,24,53,28,68,0,34.0,1,-1.27,117,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,19.0
"Schenk, Adam","Schenk, Adam",Wyndham Championship,SEDGEFIELD,CUT,CUT,64,CUT,2025,2024,2023,2022,CUT,CUT,74,CUT,CUT,CUT,CUT,0,91.0,8,-1.28,118,,104.0,114.0,113.0,118.0,77.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,84.0
"Li, Haotong","Li, Haotong",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,60,CUT,CUT,35,CUT,CUT,0,,1,-1.28,118,,41.0,49.0,26.0,38.0,70.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Fisk, Steven","Fisk, Steven",Wyndham Championship,SEDGEFIELD,60,—,—,—,2025,2024,2023,2022,67,CUT,10,19,CUT,38,12,1,60.0,1,-1.34,120,,100.0,82.0,43.0,18.0,9.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,53.0
"Kirk, Chris","Kirk, Chris",Wyndham Championship,SEDGEFIELD,5,—,CUT,—,2025,2024,2023,2022,CUT,CUT,CUT,31,44,CUT,36,0,52.5,5,-1.35,121,,13.0,50.0,34.0,33.0,24.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,44.0
"Rozo, Marcelo","Rozo, Marcelo",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,CUT,CUT,CUT,CUT,53,CUT,0,,0,-1.37,122,,85.0,116.0,58.0,59.0,113.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Davis, Cam","Davis, Cam",Wyndham Championship,SEDGEFIELD,44,CUT,7,—,2025,2024,2023,2022,CUT,CUT,CUT,67,CUT,CUT,CUT,0,50.333333333333336,3,-1.41,123,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,39.0
"Tosti, Alejandro","Tosti, Alejandro",Wyndham Championship,SEDGEFIELD,—,CUT,—,—,2025,2024,2023,2022,CUT,CUT,40,CUT,CUT,CUT,CUT,0,100.0,1,-1.51,124,,122.0,104.0,94.0,57.0,11.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Hirata, Kensei","Hirata, Kensei",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,71,CUT,19,65,CUT,CUT,0,,0,-1.57,125,,116.0,123.0,67.0,46.0,93.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Smalley, Alex","Smalley, Alex",Wyndham Championship,SEDGEFIELD,CUT,CUT,CUT,13,2025,2024,2023,2022,47,CUT,CUT,3,2,17,7,1,78.25,5,-1.65,126,,29.0,27.0,23.0,39.0,102.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,73.0
"Power, Seamus","Power, Seamus",Wyndham Championship,SEDGEFIELD,44,28,—,—,2025,2024,2023,2022,WD,CUT,54,19,60,10,CUT,0,36.0,7,-1.76,127,,93.0,28.0,49.0,58.0,49.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,21.0
"Olesen, Thorbjorn","Olesen, Thorbjorn",Wyndham Championship,SEDGEFIELD,62,CUT,—,—,2025,2024,2023,2022,CUT,CUT,67,62,49,14,CUT,0,81.0,2,-2.01,128,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,76.0
"Schmid, Matti","Schmid, Matti",Wyndham Championship,SEDGEFIELD,31,64,22,—,2025,2024,2023,2022,CUT,CUT,CUT,4,CUT,10,74,0,39.0,3,-2.07,129,,105.0,78.0,72.0,98.0,36.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,25.0
"Pan, C.T.","Pan, C.T.",Wyndham Championship,SEDGEFIELD,—,WD,64,WD,2025,2024,2023,2022,WD,CUT,CUT,CUT,CUT,WD,9,0,64.0,7,-2.08,130,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,60.0
"Sargent, Gordon","Sargent, Gordon",Wyndham Championship,SEDGEFIELD,CUT,—,—,—,2025,2024,2023,2022,78,CUT,CUT,17,54,CUT,CUT,1,100.0,1,-2.11,131,,124.0,29.0,40.0,14.0,32.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Blanchet, Chandler","Blanchet, Chandler",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,67,42,CUT,44,52,72,0,,0,-2.26,132,,59.0,105.0,36.0,35.0,105.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Rodgers, Patrick","Rodgers, Patrick",Wyndham Championship,SEDGEFIELD,15,33,CUT,36,2025,2024,2023,2022,71,49,60,47,CUT,24,65,4,46.0,8,-2.27,133,,98.0,69.0,109.0,96.0,56.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,35.0
"Ramey, Chad","Ramey, Chad",Wyndham Championship,SEDGEFIELD,CUT,52,CUT,CUT,2025,2024,2023,2022,CUT,CUT,CUT,59,CUT,32,39,0,88.0,4,-2.37,134,,109.0,64.0,103.0,99.0,14.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,82.0
"VanDerLaan, John","VanDerLaan, John",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,CUT,CUT,67,60,CUT,CUT,0,,0,-2.56,135,,110.0,101.0,21.0,25.0,68.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Kizzire, Patton","Kizzire, Patton",Wyndham Championship,SEDGEFIELD,44,CUT,CUT,CUT,2025,2024,2023,2022,CUT,CUT,CUT,CUT,CUT,CUT,CUT,0,86.0,8,-2.93,136,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,81.0
"Lamprecht, Christo","Lamprecht, Christo",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,CUT,CUT,CUT,60,CUT,49,0,,0,-3.79,137,,123.0,120.0,104.0,72.0,30.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Straka, Sepp","Straka, Sepp",Wyndham Championship,SEDGEFIELD,—,—,—,CUT,2025,2024,2023,2022,72,CUT,40,12,CUT,63,4,1,100.0,4,-4.06,138,,34.0,96.0,85.0,63.0,111.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Walker, Danny","Walker, Danny",Wyndham Championship,SEDGEFIELD,CUT,—,—,—,2025,2024,2023,2022,CUT,CUT,CUT,CUT,38,CUT,67,0,100.0,1,-4.19,139,,95.0,43.0,120.0,109.0,31.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Hrabak, Cooper","Hrabak, Cooper",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,CUT,—,—,—,—,—,—,0,,0,-5.89,140,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
