tour,event_name,event_id,date_start,date_end,course_name,multi_course,current_round,player_name,dg_id,player_num,country,am,dg_rank,owgr_rank,tour_rank,pre_tourn_pageviews,r1_teetime,r1_start_hole,r1_wave,r1_course_name,teetimes_json
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Ghim, Doug",24550,52375,USA,0,58.0,157.0,93,126,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Glover, Lucas",7399,25900,USA,0,192.0,115.0,101,104,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Gomez, Fabian",8571,28679,ARG,0,376.0,434.0,199,37,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Gordon, Will",26660,56762,USA,0,416.0,388.0,173,36,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Greyserman, Max",23465,51977,USA,0,123.0,90.0,103,77,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Griffin, Lanto",15330,35310,USA,0,233.0,223.0,156,74,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Grillo, Emiliano",12808,31646,ARG,0,89.0,104.0,109,124,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hadwin, Adam",13965,33399,CAN,0,362.0,324.0,188,41,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hardy, Nick",19865,47988,USA,0,381.0,,193,38,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Higgs, Harry",14140,33597,USA,0,377.0,372.0,184,37,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hirata, Kensei",20954,49120,JPN,0,,368.0,168,46,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hisatsune, Ryo",22760,51287,JPN,0,77.0,66.0,47,146,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hodges, Lee",25157,54628,USA,0,133.0,138.0,106,87,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hoey, Rico",23504,51696,PHI,0,124.0,111.0,113,70,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hoge, Tom",15575,35532,USA,0,166.0,134.0,81,86,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hojgaard, Rasmus",23838,52686,DEN,0,69.0,72.0,107,169,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Horschel, Billy",11276,29420,USA,0,101.0,162.0,100,193,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hossler, Beau",15470,35461,USA,0,94.0,92.0,72,67,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hubbard, Mark",16333,36801,USA,0,227.0,151.0,119,41,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Hughes, Mackenzie",15556,35506,CAN,0,113.0,160.0,118,91,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Jaeger, Stephan",16394,36799,GER,0,149.0,120.0,83,71,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"James, Ben",29827,57869,USA,0,64.0,163.0,108,198,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Jones, Tyler",30037685,71429,USA,1,,,,16,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kanaya, Takumi",19729,47917,JPN,0,202.0,185.0,144,40,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kang, Jeffrey",21889,47393,USA,0,386.0,304.0,165,44,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Keefer, Johnny",32457,63454,USA,0,112.0,68.0,78,76,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kim, Michael",17543,39975,USA,0,71.0,64.0,61,95,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kirk, Chris",12423,30926,USA,0,118.0,114.0,128,102,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kisner, Kevin",11328,29478,USA,0,,,,38,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kizzire, Patton",13470,32757,USA,0,,,160,36,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Kohles, Ben",16395,36884,USA,0,80.0,101.0,96,168,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Koivun, Jackson",32319,66701,USA,0,29.0,65.0,67,216,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Lamprecht, Christo",24343,54422,RSA,0,,334.0,198,30,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Lebioda, Hank",21943,49766,USA,0,277.0,268.0,140,37,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Li, Haotong",15310,35296,CHN,0,187.0,122.0,133,89,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Lipsky, David",15980,36326,USA,0,225.0,133.0,85,38,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"List, Luke",7960,27129,USA,0,,,190,42,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Lower, Justin",17723,40162,USA,0,334.0,340.0,175,43,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Malnati, Peter",14926,34466,USA,0,423.0,,169,47,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Martin, Ben",14007,33413,USA,0,410.0,476.0,159,58,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"McCarthy, Denny",19870,47993,USA,0,76.0,91.0,86,94,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"McGreevy, Max",23505,51950,USA,0,139.0,129.0,123,56,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Meissner, Mac",28159,59143,USA,0,55.0,86.0,75,84,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Merritt, Troy",13367,32640,USA,0,407.0,417.0,180,61,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Moore, Taylor",21944,49947,USA,0,172.0,175.0,102,71,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Mouw, William",29770,63121,USA,0,150.0,144.0,116,66,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Nakajima, Keita",21074,49228,JPN,0,92.0,94.0,115,103,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Norlander, Henrik",11657,30163,SWE,0,406.0,,206,31,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Novak, Andrew",23475,51997,USA,0,111.0,82.0,84,95,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Nyholm, Pontus",25475,55851,SWE,0,300.0,280.0,136,49,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Parry, John",13764,28723,ENG,0,120.0,107.0,95,63,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Paul, Jeremy",22087,50582,GER,0,,341.0,192,44,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Pavon, Matthieu",19960,48153,FRA,0,220.0,319.0,126,41,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Pendrith, Taylor",17780,40250,CAN,0,146.0,96.0,89,74,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Penge, Marco",22465,51003,ENG,0,84.0,53.0,112,170,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Peterson, Paul",16341,36824,USA,0,244.0,289.0,155,40,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Phillips, Chandler",27164,57900,USA,0,138.0,137.0,91,104,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Poston, J.T.",21554,49771,USA,0,54.0,38.0,32,181,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Power, Seamus",10104,28252,IRL,0,182.0,210.0,114,60,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Putnam, Andrew",14704,34256,USA,0,119.0,108.0,76,76,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Ramey, Chad",19840,47983,USA,0,243.0,204.0,132,37,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Riley, Davis",19872,47995,USA,0,370.0,131.0,111,63,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Roy, Kevin",18424,39335,USA,0,116.0,117.0,90,65,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Rozo, Marcelo",16591,37076,COL,0,,,201,39,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Salinda, Isaiah",27183,56781,USA,0,336.0,380.0,195,47,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Sargent, Gordon",30814,64442,USA,0,447.0,342.0,134,41,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Schenk, Adam",19477,47347,USA,0,463.0,211.0,157,40,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Shipley, Neal",32055,63807,USA,0,242.0,217.0,183,56,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Silverman, Ben",17381,39327,CAN,0,275.0,258.0,139,49,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Simpson, Webb",11049,29221,USA,0,209.0,,176,73,,,,,[]
pga,Biltmore Championship Asheville,557,2026-09-17,2026-09-20,The Cliffs at Walnut Cove,no,1,"Skinns, David",10873,27139,ENG,0,217.0,281.0,137,46,,,,,[]
