player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Nyholm, Pontus",DETROIT GOLF CLUB,48,294,0.348,32.59,1.0,33.3,CUT|31|14,80.0
"Smith, Jordan",DETROIT GOLF CLUB,58,345,1.063,22.96,1.0,14.0,13|CUT|16,4.0
"Dumont De Chassart, Adrien",DETROIT GOLF CLUB,46,192,0.842,25.51,1.0,23.9,53|CUT|31,15.0
"Hughes, Mackenzie",DETROIT GOLF CLUB,49,382,0.205,35.94,1.0,34.7,10|52|CUT,100.0
"English, Harris",DETROIT GOLF CLUB,43,399,0.497,25.69,2.0,14.3,CUT|17|18,58.0
"Streelman, Kevin",DETROIT GOLF CLUB,44,298,0.11,41.22,7.0,38.6,42|CUT|68,113.0
"Jaeger, Stephan",DETROIT GOLF CLUB,61,368,0.358,29.95,1.0,35.0,WD|18|CUT,78.0
"Dahmen, Joel",DETROIT GOLF CLUB,51,373,0.283,29.06,1.0,36.0,42|CUT|64,94.0
"Castillo, Ricky",DETROIT GOLF CLUB,46,204,0.627,32.19,1.0,19.6,42|CUT|60,36.0
"Snedeker, Brandt",DETROIT GOLF CLUB,40,274,-0.132,38.88,1.0,57.5,36|28|CUT,133.0
"Crowe, Trace",DETROIT GOLF CLUB,49,209,0.406,26.61,1.0,41.7,CUT|67|4,67.0
"Hoey, Rico",DETROIT GOLF CLUB,57,262,0.676,27.6,1.0,28.6,17|60|53,26.0
"Taylor, Nick",DETROIT GOLF CLUB,45,400,0.272,35.66,1.0,22.2,CUT|43|26,96.0
"Clanton, Luke",DETROIT GOLF CLUB,17,69,0.138,36.92,2.0,25.0,54|60|75,108.0
"Pavon, Matthieu",DETROIT GOLF CLUB,70,372,0.036,37.73,3.0,35.7,CUT|CUT|51,119.0
"Gerard, Ryan",DETROIT GOLF CLUB,60,260,0.633,31.1,1.0,30.5,CUT|2|10,33.0
"Fishburn, Patrick",DETROIT GOLF CLUB,53,272,0.68,25.86,2.0,34.0,54|19|CUT,25.0
"Dunlap, Nick",DETROIT GOLF CLUB,24,118,-0.58,39.77,1.0,43.5,60|24|CUT,142.0
"Thorbjornsen, Michael",DETROIT GOLF CLUB,21,98,0.328,25.54,2.0,38.1,16|CUT|33,84.0
"Dalke, Brad",DETROIT GOLF CLUB,2,6,0.371,30.0,30.0,50.0,30|CUT,76.0
"Schauffele, Xander",DETROIT GOLF CLUB,37,389,1.47,17.76,1.0,8.1,11|29|7,2.0
"Hojgaard, Nicolai",DETROIT GOLF CLUB,53,278,0.593,26.57,2.0,28.8,CUT|CUT|44,45.0
"Saddier, Adrien",DETROIT GOLF CLUB,55,228,0.233,34.93,2.0,46.3,CUT|CUT|42,97.0
"Putnam, Andrew",DETROIT GOLF CLUB,55,400,0.379,33.36,2.0,20.0,65|17|55,73.0
"Neergaard-Petersen, Rasmus",DETROIT GOLF CLUB,27,112,0.873,36.35,3.0,23.1,56|42|75,12.0
"Kim, Michael",DETROIT GOLF CLUB,60,354,0.078,28.58,1.0,40.0,43|49|17,115.0
"McCarthy, Denny",DETROIT GOLF CLUB,51,426,0.58,33.51,4.0,27.5,34|44|48,47.0
"Kang, Jeffrey",DETROIT GOLF CLUB,42,167,0.034,33.05,2.0,53.7,42|CUT|39,121.0
"Young, Cameron",DETROIT GOLF CLUB,34,258,0.711,25.46,1.0,23.5,43|46|26,21.0
"Stevens, Sam",DETROIT GOLF CLUB,45,286,0.506,31.57,2.0,22.2,7|CUT|42,56.0
"Svensson, Adam",DETROIT GOLF CLUB,63,373,0.3,26.61,1.0,34.9,CUT|45|CUT,88.0
"Springer, Hayden",DETROIT GOLF CLUB,32,159,0.285,31.05,4.0,38.7,CUT|24|19,93.0
"James, Ben",DETROIT GOLF CLUB,2,10,0.931,33.5,23.0,0.0,23|44,10.0
"Shipley, Neal",DETROIT GOLF CLUB,34,105,0.397,24.44,1.0,52.9,65|CUT|38,70.0
"Finau, Tony",DETROIT GOLF CLUB,37,370,0.834,28.13,1.0,16.2,29|CUT|31,16.0
"Hubbard, Mark",DETROIT GOLF CLUB,58,400,0.404,35.62,2.0,28.6,CUT|60|2,68.0
"Wise, Aaron",DETROIT GOLF CLUB,48,241,0.592,24.68,1.0,41.7,CUT|CUT|CUT,46.0
"Smotherman, Austin",DETROIT GOLF CLUB,62,291,0.203,29.55,1.0,44.1,42|CUT|19,101.0
"Spieth, Jordan",DETROIT GOLF CLUB,31,360,0.753,27.22,3.0,23.3,56|CUT|18,19.0
"Simpson, Webb",DETROIT GOLF CLUB,29,252,0.663,29.2,2.0,31.0,CUT|48|18,28.0
"Vilips, Karl",DETROIT GOLF CLUB,23,87,0.6,26.06,1.0,26.1,CUT|24|33,43.0
"Koivun, Jackson",DETROIT GOLF CLUB,7,28,0.31,31.67,5.0,14.3,23|52|CUT,85.0
"Ruffels, Ryan",DETROIT GOLF CLUB,22,73,-0.421,44.29,21.0,66.7,45|CUT|CUT,139.0
"Campbell, Brian",DETROIT GOLF CLUB,66,304,0.009,33.61,2.0,43.8,CUT|CUT|82,126.0
"Higgo, Garrick",DETROIT GOLF CLUB,54,259,0.005,33.47,1.0,37.3,32|CUT|67,127.0
"Todd, Brendon",DETROIT GOLF CLUB,45,306,0.023,36.77,2.0,31.8,67|65|51,123.0
