player_name,course_name,event_name,birdies_plus,strokes,bogeys,pars,fw_pct,gir_pct,n_rounds,n_starts,window,trait_sig,by_designer,by_style,by_greens,birdies_plus_rank,strokes_rank,course_hist_birdies,course_hist_strokes,course_hist_bogeys,course_hist_pars,course_hist_fw,course_hist_gir,course_hit_rate
"Young, Cameron",East Lake Golf Club,TOUR Championship,3.9167,68.5833,2.1667,11.7083,56.8375,71.2875,24,6,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,4.3333,3.375,3.5,19,14,1.0|4.0|5.0|3.0|4.0|3.0|6.0|4.0,74.0|69.0|65.0|71.0|67.0|72.0|66.0|71.0,5.0|3.0|0.0|2.0|1.0|5.0|2.0|3.0,12.0|11.0|13.0|12.0|13.0|10.0|10.0|10.0,7.0|7.0|7.994|4.998|7.0|9.996|7.994|11.004,10.998|10.998|14.994|10.998|12.996|14.004|14.994|14.994,62.5
"Morikawa, Collin",East Lake Golf Club,TOUR Championship,4.5,68.4583,2.7917,10.5833,69.9417,70.1333,24,6,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,4.3333,4.625,4.6667,5,13,6.0|5.0|6.0|5.0|4.0|3.0|4.0|5.0,68.0|67.0|65.0|68.0|69.0|70.0|70.0|68.0,3.0|2.0|1.0|3.0|3.0|4.0|2.0|3.0,8.0|11.0|11.0|10.0|11.0|11.0|11.0|10.0,9.996|9.002|7.994|7.0|9.996|11.004|11.998|7.994,10.998|14.994|12.006|12.006|12.006|10.998|12.996|14.994,62.5
"Scott, Adam",East Lake Golf Club,TOUR Championship,3.8333,69.5417,2.75,11.1667,60.025,69.4375,24,7,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,4.75,3.7083,3.4583,21,22,5.0|3.0|3.0|3.0|6.0|3.0|6.0|2.0,67.0|71.0|68.0|68.0|66.0|71.0|66.0|72.0,2.0|4.0|1.0|1.0|2.0|5.0|2.0|4.0,11.0|11.0|14.0|14.0|10.0|10.0|10.0|12.0,9.996|9.996|11.004|9.002|7.0|6.006|9.002|7.994,14.994|10.998|14.994|14.994|12.996|10.998|12.996|14.004,37.5
"Henley, Russell",East Lake Golf Club,TOUR Championship,4.2083,68.9583,2.3333,11.0833,71.725,68.5167,24,6,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,3.0,3.9167,4.25,12,19,6.0|3.0|4.0|5.0|5.0|6.0|7.0|5.0,70.0|70.0|66.0|67.0|69.0|67.0|67.0|67.0,4.0|3.0|0.0|2.0|4.0|3.0|2.0|2.0,7.0|12.0|14.0|11.0|9.0|9.0|8.0|11.0,4.998|9.002|9.996|7.994|9.002|9.996|11.004|11.004,7.992|14.004|16.002|12.996|9.0|14.994|12.996|14.994,75.0
"Kim, Tom",East Lake Golf Club,TOUR Championship,4.5833,68.0417,1.9583,11.25,65.2583,72.45,24,7,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,3.8333,3.9167,4.0,4,4,3.0|3.0|5.0|6.0|3.0|7.0|5.0|7.0,68.0|68.0|69.0|72.0|70.0|63.0|67.0|65.0,1.0|1.0|4.0|4.0|1.0|0.0|0.0|2.0,14.0|14.0|9.0|6.0|13.0|11.0|12.0|9.0,11.998|7.994|7.0|7.0|7.994|13.006|9.996|9.996,12.996|14.004|12.996|10.998|12.996|16.002|14.994|12.996,62.5
"Rose, Justin",East Lake Golf Club,TOUR Championship,3.875,69.75,2.7917,11.0833,63.6917,67.1292,24,7,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,3.25,3.7083,3.9583,20,25,5.0|1.0|4.0|5.0|3.0|3.0|4.0|3.0,66.0|73.0|67.0|69.0|68.0|75.0|68.0|73.0,1.0|2.0|1.0|2.0|1.0|6.0|2.0|4.0,12.0|14.0|13.0|10.0|14.0|8.0|12.0|10.0,9.996|6.006|9.996|9.002|4.998|7.994|11.004|7.0,12.996|10.998|14.004|10.998|12.996|9.0|12.996|10.998,50.0
"Gotterup, Chris",East Lake Golf Club,TOUR Championship,4.3333,67.9583,1.9167,11.625,56.5542,71.5333,24,7,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,3.6111,3.625,3.875,8,3,2.0|3.0|6.0|6.0|1.0|4.0|6.0|3.0,69.0|68.0|67.0|64.0|73.0|68.0|67.0|72.0,1.0|1.0|3.0|0.0|4.0|2.0|3.0|3.0,15.0|14.0|9.0|12.0|13.0|12.0|9.0|11.0,6.006|7.0|9.002|7.0|6.006|11.998|7.0|7.0,7.992|9.0|14.004|14.994|10.008|14.994|12.996|12.006,37.5
"Clark, Wyndham",East Lake Golf Club,TOUR Championship,4.4583,68.0417,1.9583,11.25,55.3417,64.5875,24,7,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,4.375,4.375,5.0417,6,5,3.0|7.0|6.0|6.0|3.0|2.0|6.0|1.0,70.0|65.0|64.0|64.0|74.0|71.0|70.0|73.0,3.0|1.0|0.0|0.0|5.0|3.0|3.0|4.0,12.0|9.0|12.0|12.0|9.0|13.0|7.0|13.0,7.994|7.994|7.994|13.006|6.006|6.006|4.004|6.006,10.998|12.996|16.992|14.004|7.002|12.006|7.002|10.008,50.0
"Spaun, J.J.",East Lake Golf Club,TOUR Championship,4.25,68.7083,2.5417,11.0,61.6083,68.9792,24,6,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,3.375,4.1667,4.3333,10,16,3.0|3.0|7.0|7.0|2.0|3.0|6.0|4.0,73.0|72.0|66.0|64.0|72.0|70.0|67.0|67.0,3.0|3.0|3.0|1.0|4.0|3.0|2.0|1.0,11.0|11.0|8.0|10.0|12.0|12.0|9.0|13.0,6.006|9.996|11.004|4.998|11.004|11.004|9.002|11.004,7.992|7.002|12.996|14.994|12.006|12.996|14.004|14.994,37.5
"Bridgeman, Jacob",East Lake Golf Club,TOUR Championship,3.9583,68.4167,2.2083,11.7917,63.9792,64.3625,24,6,24,DESIGNER:TOM FAZIO | STYLE:PARKLAND | GREENS:BENT | GREENS (2):POA | FAIRWAYS:BERMUDA | LENGTH:LONG | PAR:72.0 | SCORING:HARD | WEATHER:FAIR | TYPE:FULL | FAIRWAY WIDTH:SMALL | GREEN WIDTH:SMALL | GREEN SPEEDS:13.0 | GREEN SPEEDS.1:FAST | ROUGH LENGTH:THICK | WATER HAZARDS:1.0 | ROUGH AMOUNT:NORMAL | BUNKERS:74.0 | LOCATION:CALIFORNIA | Redesigned:REES JONES | DRAINAGE:GOOD | RAIN:NO,4.4545,3.9583,4.125,18,12,5.0|5.0|2.0|4.0|6.0|3.0|6.0|3.0,67.0|66.0|72.0|66.0|68.0|70.0|65.0|68.0,2.0|2.0|4.0|0.0|4.0|3.0|1.0|1.0,11.0|11.0|12.0|14.0|8.0|12.0|11.0|14.0,11.004|7.994|9.002|9.996|7.0|9.002|9.996|7.994,12.006|12.006|10.998|12.996|10.998|10.008|12.996|12.996,62.5
