player_name,Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course,updated_at
John Parry,John Parry,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/450617.png,708,44134941,Biltmore Championship Asheville,9/17/2026,7300,81.49,6.5,0.6774,0.3226,7110.4 (0.01),1427.5 (0.07),669.6 (0.13),283.6 (0.26),8:07:36 AM,EL,2026-09-17T22:13:00.195157Z
Zac Blair,Zac Blair,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/614.png,530,44134942,Biltmore Championship Asheville,9/17/2026,7300,84.67,7.9,0.6117,0.3883,8136.6 (0.01),1602.5 (0.06),709.2 (0.12),319.1 (0.24),12:57:36 PM,EL,2026-09-17T22:13:00.195160Z
Lee Hodges,Lee Hodges,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1003.png,692607,44134943,Biltmore Championship Asheville,9/17/2026,7300,83.98,0,0.6553,0.3447,7601.9 (0.01),1486.9 (0.06),687.9 (0.13),309.5 (0.24),7:56:36 AM,EL,2026-09-17T22:13:00.195162Z
Peter Uihlein,Peter Uihlein,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/650.png,218,43867172,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195164Z
Anirban Lahiri,Anirban Lahiri,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/585.png,846,43867173,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195166Z
Cameron John,Cameron John,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,690257,43893638,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195169Z
Peter Uihlein,Peter Uihlein,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/650.png,218,43867172,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195171Z
Anirban Lahiri,Anirban Lahiri,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/585.png,846,43867173,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195173Z
Cameron John,Cameron John,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,690257,43893638,LIV Golf Indianapolis,8/20/2026,7300,19.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195176Z
Taylor Moore,Taylor Moore,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451638.png,165746,44134944,Biltmore Championship Asheville,9/17/2026,7200,79.82,3.9,0.6305,0.3695,8164.7 (0.01),1606.1 (0.06),719.2 (0.12),321.4 (0.24),9:02:36 AM,EL,2026-09-17T22:13:00.195178Z
Austin Eckroat,Austin Eckroat,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1053.png,696563,44134945,Biltmore Championship Asheville,9/17/2026,7200,79.78,5,0.6358,0.3642,9119.5 (0.01),1659.8 (0.06),792.5 (0.11),340.5 (0.23),1:08:36 PM,EL,2026-09-17T22:13:00.195180Z
Neal Shipley,Neal Shipley,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,793366,44134946,Biltmore Championship Asheville,9/17/2026,7200,73.25,2.56,0.6068,0.3932,9913.5 (0.01),1814.4 (0.05),796.7 (0.11),345.3 (0.22),2:14:36 PM,EL,2026-09-17T22:13:00.195182Z
Steven Fisk,Steven Fisk,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/623838.png,761827,44134947,Biltmore Championship Asheville,9/17/2026,7200,83.81,3.22,0.6322,0.3678,9784.9 (0.01),1756.5 (0.05),782.5 (0.11),338.6 (0.23),1:19:36 PM,EL,2026-09-17T22:13:00.195184Z
A.J. Ewart,A.J. Ewart,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/canada.png,765420,44134948,Biltmore Championship Asheville,9/17/2026,7200,79.18,3.17,0.5804,0.4196,11921.8 (0.01),2140.8 (0.04),950.0 (0.10),399.5 (0.20),9:13:36 AM,EL,2026-09-17T22:13:00.195187Z
Lee Westwood,Lee Westwood,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/867.png,638,43867174,LIV Golf Indianapolis,8/20/2026,7200,18.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195189Z
Louis Oosthuizen,Louis Oosthuizen,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/918.png,584,43867175,LIV Golf Indianapolis,8/20/2026,7200,18.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195191Z
Lee Westwood,Lee Westwood,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/867.png,638,43867174,LIV Golf Indianapolis,8/20/2026,7200,18.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195193Z
Louis Oosthuizen,Louis Oosthuizen,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/918.png,584,43867175,LIV Golf Indianapolis,8/20/2026,7200,18.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195196Z
William Mouw,William Mouw,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/645034.png,765443,44134949,Biltmore Championship Asheville,9/17/2026,7100,75.21,7.76,0.6269,0.3731,8964.3 (0.01),1713.6 (0.06),788.3 (0.11),354.5 (0.22),8:29:36 AM,EL,2026-09-17T22:13:00.195198Z
Chandler Phillips,Chandler Phillips,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/61619.png,698927,44134950,Biltmore Championship Asheville,9/17/2026,7100,81.04,7.65,0.6297,0.3703,7421.3 (0.01),1409.3 (0.07),676.3 (0.13),302.7 (0.25),8:18:36 AM,EL,2026-09-17T22:13:00.195200Z
Kris Ventura,Kris Ventura,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/560.png,682435,44134951,Biltmore Championship Asheville,9/17/2026,7100,77.38,9.57,0.6458,0.3542,6253.5 (0.02),1177.8 (0.08),542.5 (0.16),251.8 (0.28),9:13:36 AM,EL,2026-09-17T22:13:00.195202Z
Patrick Fishburn,Patrick Fishburn,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/454597.png,699896,44134952,Biltmore Championship Asheville,9/17/2026,7100,76.41,3.47,0.6288,0.3712,9640.1 (0.01),1777.2 (0.05),790.0 (0.11),354.8 (0.22),2:25:36 PM,EL,2026-09-17T22:13:00.195204Z
David Ford,David Ford,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,773829,44134953,Biltmore Championship Asheville,9/17/2026,7100,76.41,3.56,0.593,0.407,10188.6 (0.01),1956.2 (0.05),925.8 (0.10),401.8 (0.20),2:36:36 PM,EL,2026-09-17T22:13:00.195206Z
Richard T. Lee,Richard T. Lee,Classic: LIV,https://dkn.gs/sports/images/countries/50/canada.png,165,43867176,LIV Golf Indianapolis,8/20/2026,7100,18.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195209Z
Charl Schwartzel,Charl Schwartzel,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/938.png,193,43867177,LIV Golf Indianapolis,8/20/2026,7100,18.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195211Z
Richard T. Lee,Richard T. Lee,Classic: LIV,https://dkn.gs/sports/images/countries/50/canada.png,165,43867176,LIV Golf Indianapolis,8/20/2026,7100,18.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195213Z
Charl Schwartzel,Charl Schwartzel,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/938.png,193,43867177,LIV Golf Indianapolis,8/20/2026,7100,18.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195216Z
Zecheng Dou,Zecheng Dou,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/450649.png,770,44134954,Biltmore Championship Asheville,9/17/2026,7000,76.53,4.49,0.6471,0.3529,8768.0 (0.01),1550.2 (0.06),731.7 (0.12),327.1 (0.23),2:14:36 PM,EL,2026-09-17T22:13:00.195218Z
Max McGreevy,Max McGreevy,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/525640.png,703985,44134955,Biltmore Championship Asheville,9/17/2026,7000,75.46,4.19,0.628,0.372,10072.9 (0.01),1902.3 (0.05),851.7 (0.11),377.3 (0.21),1:08:36 PM,EL,2026-09-17T22:13:00.195220Z
Andrew Putnam,Andrew Putnam,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/730.png,665,44134956,Biltmore Championship Asheville,9/17/2026,7000,81.06,4.56,0.6215,0.3785,10902.1 (0.01),1998.5 (0.05),865.0 (0.10),365.9 (0.21),8:51:36 AM,EL,2026-09-17T22:13:00.195222Z
Matthieu Pavon,Matthieu Pavon,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1121.png,113835,44134957,Biltmore Championship Asheville,9/17/2026,7000,75.4,2.41,0.6015,0.3985,11804.7 (0.01),2148.5 (0.04),982.5 (0.09),435.0 (0.19),9:13:36 AM,EL,2026-09-17T22:13:00.195224Z
Seamus Power,Seamus Power,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/541.png,185304,44134958,Biltmore Championship Asheville,9/17/2026,7000,78.21,3.16,0.5923,0.4077,11732.6 (0.01),2097.6 (0.05),958.3 (0.09),394.1 (0.20),12:46:36 PM,EL,2026-09-17T22:13:00.195227Z
Tom Hoge,Tom Hoge,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/648.png,1760,44134959,Biltmore Championship Asheville,9/17/2026,7000,77.61,5.53,0.5798,0.4202,12317.8 (0.01),2361.0 (0.04),1050.0 (0.09),441.8 (0.18),1:52:36 PM,EL,2026-09-17T22:13:00.195229Z
Anthony Kim,Anthony Kim,Classic: LIV,https://dkn.gs/sports/images/countries/50/united_states.png,1119,43867178,LIV Golf Indianapolis,8/20/2026,7000,18.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195231Z
Ian Poulter,Ian Poulter,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/974.png,308,43867179,LIV Golf Indianapolis,8/20/2026,7000,18.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195234Z
Anthony Kim,Anthony Kim,Classic: LIV,https://dkn.gs/sports/images/countries/50/united_states.png,1119,43867178,LIV Golf Indianapolis,8/20/2026,7000,18.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195236Z
Ian Poulter,Ian Poulter,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/974.png,308,43867179,LIV Golf Indianapolis,8/20/2026,7000,18.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195238Z
Karl Vilips,Karl Vilips,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/709867.png,773007,44134960,Biltmore Championship Asheville,9/17/2026,6900,74.12,3,0.5769,0.4231,11607.8 (0.01),2225.4 (0.04),989.6 (0.09),442.3 (0.18),8:40:36 AM,EL,2026-09-17T22:13:00.195240Z
Adrien Dumont De Chassart,Adrien Dumont De Chassart,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/645032.png,765441,44134961,Biltmore Championship Asheville,9/17/2026,6900,74.51,3.12,0.5939,0.4061,12946.7 (0.01),2218.5 (0.04),1008.3 (0.09),428.2 (0.19),9:46:36 AM,EL,2026-09-17T22:13:00.195243Z
Jesper Svensson,Jesper Svensson,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/630555.png,762723,44134962,Biltmore Championship Asheville,9/17/2026,6900,77.9,2.79,0.5909,0.4091,10384.2 (0.01),1959.8 (0.05),887.5 (0.10),391.8 (0.20),2:25:36 PM,EL,2026-09-17T22:13:00.195245Z
Chad Ramey,Chad Ramey,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/983.png,2119,44134963,Biltmore Championship Asheville,9/17/2026,6900,73.71,1.36,0.5717,0.4283,14150.5 (0.01),2507.2 (0.04),1131.3 (0.08),478.2 (0.17),8:07:36 AM,EL,2026-09-17T22:13:00.195248Z
Trace Crowe,Trace Crowe,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/452008.png,560242,44134964,Biltmore Championship Asheville,9/17/2026,6900,75.07,2.36,0.5699,0.4301,13883.9 (0.01),2437.5 (0.04),1072.9 (0.09),453.2 (0.18),9:24:36 AM,EL,2026-09-17T22:13:00.195250Z
Hayden Springer,Hayden Springer,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/626.png,77417,44134965,Biltmore Championship Asheville,9/17/2026,6900,75.82,3.91,0.6044,0.3956,11052.3 (0.01),2052.3 (0.05),935.8 (0.10),411.8 (0.20),2:14:36 PM,EL,2026-09-17T22:13:00.195252Z
Brendan Steele,Brendan Steele,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/566.png,549,43867180,LIV Golf Indianapolis,8/20/2026,6900,18.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195254Z
Matthew Wolff,Matthew Wolff,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/802.png,693781,43867181,LIV Golf Indianapolis,8/20/2026,6900,18.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195256Z
Brendan Steele,Brendan Steele,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/566.png,549,43867180,LIV Golf Indianapolis,8/20/2026,6900,18.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195259Z
Matthew Wolff,Matthew Wolff,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/802.png,693781,43867181,LIV Golf Indianapolis,8/20/2026,6900,18.3,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195261Z
Tyler Watts,Tyler Watts,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,856436,44134966,Biltmore Championship Asheville,9/17/2026,6800,73.5,3.35,0.5909,0.4091,9955.7 (0.01),1871.5 (0.05),889.6 (0.10),398.2 (0.20),2:25:36 PM,EL,2026-09-17T22:13:00.195263Z
Luke Clanton,Luke Clanton,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,796547,44134967,Biltmore Championship Asheville,9/17/2026,6800,73.3,3.07,0.5664,0.4336,12812.4 (0.01),2472.3 (0.04),1112.5 (0.08),471.8 (0.17),9:35:36 AM,EL,2026-09-17T22:13:00.195265Z
Takumi Kanaya,Takumi Kanaya,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/788.png,693416,44134968,Biltmore Championship Asheville,9/17/2026,6800,72.44,1.95,0.587,0.413,15116.5 (0.01),2576.7 (0.04),1097.9 (0.08),469.1 (0.18),1:52:36 PM,EL,2026-09-17T22:13:00.195267Z
Joel Dahmen,Joel Dahmen,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/521.png,1622,44134969,Biltmore Championship Asheville,9/17/2026,6800,75.4,3.85,0.5914,0.4086,13798.5 (0.01),2616.1 (0.04),1125.0 (0.08),481.5 (0.17),12:46:36 PM,EL,2026-09-17T22:13:00.195269Z
Davis Chatfield,Davis Chatfield,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,769810,44134970,Biltmore Championship Asheville,9/17/2026,6800,74.44,7.77,0.5814,0.4186,11426.2 (0.01),2073.3 (0.05),958.3 (0.09),424.5 (0.19),2:14:36 PM,EL,2026-09-17T22:13:00.195271Z
David Skinns,David Skinns,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451322.png,1902,44134971,Biltmore Championship Asheville,9/17/2026,6800,75.73,1.82,0.5538,0.4462,17004.0 (0.01),3150.0 (0.03),1393.8 (0.07),567.7 (0.15),12:46:36 PM,EL,2026-09-17T22:13:00.195274Z
Elvis Smylie,Elvis Smylie,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,721846,43867182,LIV Golf Indianapolis,8/20/2026,6800,18.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195276Z
Younghan Song,Younghan Song,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/450447.png,329,43867183,LIV Golf Indianapolis,8/20/2026,6800,18.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195279Z
Elvis Smylie,Elvis Smylie,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,721846,43867182,LIV Golf Indianapolis,8/20/2026,6800,18.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195281Z
Younghan Song,Younghan Song,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/450447.png,329,43867183,LIV Golf Indianapolis,8/20/2026,6800,18.1,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195283Z
Austin Smotherman,Austin Smotherman,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451957.png,477949,44134972,Biltmore Championship Asheville,9/17/2026,6700,76.14,4.26,0.5736,0.4264,13910.4 (0.01),2645.3 (0.04),1175.0 (0.08),505.0 (0.17),2:03:36 PM,EL,2026-09-17T22:13:00.195285Z
Mark Hubbard,Mark Hubbard,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/629.png,2056,44134973,Biltmore Championship Asheville,9/17/2026,6700,73.24,2.93,0.5583,0.4417,15482.0 (0.01),2823.2 (0.03),1206.3 (0.08),494.1 (0.17),7:56:36 AM,EL,2026-09-17T22:13:00.195287Z
Lucas Glover,Lucas Glover,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/992.png,2158,44134974,Biltmore Championship Asheville,9/17/2026,6700,79.71,6.64,0.5455,0.4545,13878.2 (0.01),2761.3 (0.03),1183.3 (0.08),500.0 (0.17),8:51:36 AM,EL,2026-09-17T22:13:00.195290Z
Webb Simpson,Webb Simpson,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/913.png,703,44134975,Biltmore Championship Asheville,9/17/2026,6700,70.43,2.09,0.5365,0.4635,18185.4 (0.01),3214.8 (0.03),1418.8 (0.07),588.2 (0.15),1:19:36 PM,EL,2026-09-17T22:13:00.195292Z
Erik Van Rooyen,Erik Van Rooyen,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/671.png,417,44134976,Biltmore Championship Asheville,9/17/2026,6700,71.42,3.67,0.5833,0.4167,11596.1 (0.01),2068.2 (0.05),993.8 (0.09),443.2 (0.18),1:41:36 PM,EL,2026-09-17T22:13:00.195294Z
Isaiah Salinda,Isaiah Salinda,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/67664.png,699174,44134977,Biltmore Championship Asheville,9/17/2026,6700,70.21,1.48,0.5135,0.4865,20059.2 (0.01),3425.0 (0.03),1585.4 (0.06),645.5 (0.13),9:24:36 AM,EL,2026-09-17T22:13:00.195296Z
Davis Riley,Davis Riley,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1103.png,1625,44134978,Biltmore Championship Asheville,9/17/2026,6700,70.44,2.31,0.5035,0.4965,16791.0 (0.01),3340.9 (0.03),1458.3 (0.06),615.5 (0.14),8:51:36 AM,EL,2026-09-17T22:13:00.195299Z
Richard Bland,Richard Bland,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,698,43867184,LIV Golf Indianapolis,8/20/2026,6700,17.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195301Z
Adrian Meronk,Adrian Meronk,Classic: LIV,https://dkn.gs/sports/images/countries/50/poland.png,292342,43867185,LIV Golf Indianapolis,8/20/2026,6700,17.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195303Z
Richard Bland,Richard Bland,Classic: LIV,https://dkn.gs/sports/images/countries/50/england.png,698,43867184,LIV Golf Indianapolis,8/20/2026,6700,17.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195305Z
Adrian Meronk,Adrian Meronk,Classic: LIV,https://dkn.gs/sports/images/countries/50/poland.png,292342,43867185,LIV Golf Indianapolis,8/20/2026,6700,17.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195307Z
Cameron Champ,Cameron Champ,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1001.png,510218,44134979,Biltmore Championship Asheville,9/17/2026,6600,70.88,1.5,0.4576,0.5424,26180.4 (0.00),4375.0 (0.02),1825.0 (0.05),755.5 (0.12),2:03:36 PM,EL,2026-09-17T22:13:00.195309Z
Pontus Nyholm,Pontus Nyholm,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/sweden.png,690519,44134980,Biltmore Championship Asheville,9/17/2026,6600,70.58,1.67,0.5192,0.4808,21024.2 (0.00),3737.9 (0.03),1620.8 (0.06),656.4 (0.13),2:25:36 PM,EL,2026-09-17T22:13:00.195311Z
Ben Silverman,Ben Silverman,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/830.png,2102,44134981,Biltmore Championship Asheville,9/17/2026,6600,74.85,1.08,0.5202,0.4798,20824.8 (0.00),3416.7 (0.03),1491.7 (0.06),620.0 (0.14),1:41:36 PM,EL,2026-09-17T22:13:00.195314Z
Lanto Griffin,Lanto Griffin,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/605.png,648084,44134982,Biltmore Championship Asheville,9/17/2026,6600,70.19,2.78,0.562,0.438,15350.3 (0.01),2681.8 (0.04),1231.8 (0.08),517.0 (0.16),2:03:36 PM,EL,2026-09-17T22:13:00.195316Z
Chandler Blanchet,Chandler Blanchet,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,703933,44134983,Biltmore Championship Asheville,9/17/2026,6600,72.81,2.21,0.5426,0.4574,16665.9 (0.01),2999.3 (0.03),1354.2 (0.07),576.4 (0.15),9:24:36 AM,EL,2026-09-17T22:13:00.195318Z
Paul Peterson,Paul Peterson,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/960.png,1294,44134984,Biltmore Championship Asheville,9/17/2026,6600,74.08,1.28,0.5333,0.4667,20580.6 (0.00),3582.1 (0.03),1537.5 (0.06),646.4 (0.13),2:36:36 PM,EL,2026-09-17T22:13:00.195320Z
David Lipsky,David Lipsky,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/752.png,586,44134985,Biltmore Championship Asheville,9/17/2026,6600,73.17,2.03,0.5205,0.4795,22708.7 (0.00),4084.7 (0.02),1683.3 (0.06),718.2 (0.12),12:57:36 PM,EL,2026-09-17T22:13:00.195323Z
Cameron Tringale,Cameron Tringale,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/622.png,1449,43867186,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195325Z
Luis Masaveu,Luis Masaveu,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,768539,43867187,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195327Z
Travis Smyth,Travis Smyth,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,670421,43875274,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195330Z
Cameron Tringale,Cameron Tringale,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/622.png,1449,43867186,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195332Z
Luis Masaveu,Luis Masaveu,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,768539,43867187,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195334Z
Travis Smyth,Travis Smyth,Classic: LIV,https://dkn.gs/sports/images/countries/50/australia.png,670421,43875274,LIV Golf Indianapolis,8/20/2026,6600,17.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195336Z
Gordon Sargent,Gordon Sargent,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,771299,44134986,Biltmore Championship Asheville,9/17/2026,6500,70.8,1.48,0.5,0.5,20109.7 (0.00),3683.3 (0.03),1625.0 (0.06),693.6 (0.13),2:25:36 PM,EL,2026-09-17T22:13:00.195338Z
Kevin Streelman,Kevin Streelman,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/602.png,1554,44134987,Biltmore Championship Asheville,9/17/2026,6500,70.25,1.45,0.5098,0.4902,23666.7 (0.00),4016.7 (0.02),1737.5 (0.05),700.0 (0.13),1:08:36 PM,EL,2026-09-17T22:13:00.195341Z
John VanDerLaan,John VanDerLaan,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,689877,44134988,Biltmore Championship Asheville,9/17/2026,6500,67.23,1.12,0.506,0.494,25183.6 (0.00),4066.7 (0.02),1745.8 (0.05),704.5 (0.12),2:14:36 PM,EL,2026-09-17T22:13:00.195343Z
Aaron Wise,Aaron Wise,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/850.png,83255,44134989,Biltmore Championship Asheville,9/17/2026,6500,72.77,2.47,0.504,0.496,21115.6 (0.00),3769.8 (0.03),1566.7 (0.06),657.3 (0.13),1:30:36 PM,EL,2026-09-17T22:13:00.195345Z
Adam Hadwin,Adam Hadwin,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1187.png,1799,44134990,Biltmore Championship Asheville,9/17/2026,6500,67.74,1.54,0.4999,0.5001,23958.4 (0.00),3983.3 (0.02),1700.0 (0.06),710.0 (0.12),9:02:36 AM,EL,2026-09-17T22:13:00.195347Z
Jimmy Stanger,Jimmy Stanger,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451913.png,425346,44134991,Biltmore Championship Asheville,9/17/2026,6500,69.15,0.79,0.4832,0.5168,25416.7 (0.00),4316.7 (0.02),1787.5 (0.05),735.5 (0.12),9:35:36 AM,EL,2026-09-17T22:13:00.195350Z
Hank Lebioda,Hank Lebioda,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/526.png,692004,44134992,Biltmore Championship Asheville,9/17/2026,6500,69.1,1.29,0.5148,0.4852,23454.5 (0.00),4063.6 (0.02),1654.5 (0.06),673.0 (0.13),8:18:36 AM,EL,2026-09-17T22:13:00.195352Z
Jason Kokrak,Jason Kokrak,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/589.png,1080,43867188,LIV Golf Indianapolis,8/20/2026,6500,17.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195354Z
Danny Lee,Danny Lee,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/604.png,1883,43867189,LIV Golf Indianapolis,8/20/2026,6500,17.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195356Z
Jason Kokrak,Jason Kokrak,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/589.png,1080,43867188,LIV Golf Indianapolis,8/20/2026,6500,17.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195358Z
Danny Lee,Danny Lee,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/604.png,1883,43867189,LIV Golf Indianapolis,8/20/2026,6500,17.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195360Z
Nick Hardy,Nick Hardy,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/1202.png,1411,44134993,Biltmore Championship Asheville,9/17/2026,6400,66.88,1.28,0.4866,0.5134,28136.4 (0.00),4554.5 (0.02),1954.5 (0.05),812.0 (0.11),7:56:36 AM,EL,2026-09-17T22:13:00.195362Z
