player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Clanton, Luke",SEDGEFIELD,1,8,0.886,5.0,5.0,0.0,5,28.0
"Gerard, Ryan",SEDGEFIELD,1,4,-0.73,,,100.0,CUT,87.0
"Fishburn, Patrick",SEDGEFIELD,1,6,1.834,,,100.0,CUT,12.0
"Dunlap, Nick",SEDGEFIELD,1,4,-1.075,,,100.0,CUT,93.0
"Thorbjornsen, Michael",SEDGEFIELD,1,6,-0.332,,,100.0,CUT,79.0
"Saddier, Adrien",SEDGEFIELD,0,0,,,,,,
"Putnam, Andrew",SEDGEFIELD,1,14,0.546,27.0,27.0,0.0,27,43.0
"McNealy, Maverick",SEDGEFIELD,1,6,-0.844,,,100.0,CUT,90.0
"Neergaard-Petersen, Rasmus",SEDGEFIELD,0,0,,,,,,
"Kim, Michael",SEDGEFIELD,1,23,-0.985,5.0,5.0,0.0,5,91.0
"McCarthy, Denny",SEDGEFIELD,1,28,1.311,,,100.0,CUT,19.0
"Kang, Jeffrey",SEDGEFIELD,0,0,,,,,,
"Young, Cameron",SEDGEFIELD,1,8,3.136,22.0,22.0,0.0,22,1.0
"Stevens, Sam",SEDGEFIELD,1,6,-1.849,,,100.0,CUT,103.0
"Svensson, Adam",SEDGEFIELD,1,18,0.962,7.0,7.0,0.0,7,27.0
"James, Ben",SEDGEFIELD,0,0,,,,,,
"Shipley, Neal",SEDGEFIELD,0,0,,,,,,
"Finau, Tony",SEDGEFIELD,1,4,0.296,44.0,44.0,0.0,44,59.0
"Hubbard, Mark",SEDGEFIELD,1,24,1.201,,,100.0,CUT,20.0
"Wise, Aaron",SEDGEFIELD,1,15,0.582,13.0,13.0,0.0,13,40.0
"Smotherman, Austin",SEDGEFIELD,1,6,0.486,27.0,27.0,0.0,27,47.0
"Simpson, Webb",SEDGEFIELD,1,31,2.402,5.0,5.0,0.0,5,6.0
"Spieth, Jordan",SEDGEFIELD,1,13,-0.187,,,,MDF,75.0
"Vilips, Karl",SEDGEFIELD,1,4,1.796,19.0,19.0,0.0,19,13.0
"Koepka, Brooks",SEDGEFIELD,1,2,-1.985,,,100.0,CUT,104.0
"Koivun, Jackson",SEDGEFIELD,1,4,2.796,5.0,5.0,0.0,5,2.0
"Campbell, Brian",SEDGEFIELD,1,4,-0.158,,,100.0,CUT,73.0
"Day, Jason",SEDGEFIELD,1,1,2.487,,,,WD,5.0
"Higgo, Garrick",SEDGEFIELD,1,8,-1.468,,,100.0,CUT,100.0
"Poston, J.T.",SEDGEFIELD,1,28,1.082,7.0,7.0,0.0,7,25.0
"Todd, Brendon",SEDGEFIELD,1,18,1.563,7.0,7.0,0.0,7,16.0
"McCarty, Matt",SEDGEFIELD,1,4,2.546,8.0,8.0,0.0,8,3.0
"Roy, Kevin",SEDGEFIELD,1,4,-0.73,,,100.0,CUT,88.0
"Theegala, Sahith",SEDGEFIELD,1,2,-4.062,,,100.0,CUT,110.0
"Lebioda, Hank",SEDGEFIELD,1,13,-0.529,,,100.0,CUT,84.0
"Riley, Davis",SEDGEFIELD,1,12,0.365,,,100.0,CUT,55.0
"Novak, Andrew",SEDGEFIELD,1,12,-0.192,33.0,33.0,0.0,33,76.0
"Campos, Rafael",SEDGEFIELD,1,8,-1.256,74.0,74.0,0.0,74,96.0
"Eckroat, Austin",SEDGEFIELD,1,12,0.52,,,100.0,CUT,46.0
"Whaley, Vince",SEDGEFIELD,1,10,-1.356,,,100.0,CUT,98.0
"Ewart, A.J.",SEDGEFIELD,0,0,,,,,,
"Noren, Alex",SEDGEFIELD,1,12,1.194,38.0,38.0,0.0,38,21.0
"Brown, Dan",SEDGEFIELD,0,0,,,,,,
"Hall, Harry",SEDGEFIELD,1,8,-0.349,,,100.0,CUT,81.0
"Bauchou, Zach",SEDGEFIELD,0,0,,,,,,
"Collet, Tyler",SEDGEFIELD,0,0,,,,,,
"Pendrith, Taylor",SEDGEFIELD,1,6,-0.234,,,100.0,CUT,78.0
"Malnati, Peter",SEDGEFIELD,1,28,0.236,,,100.0,CUT,63.0
"Im, Sungjae",SEDGEFIELD,1,28,1.839,14.0,14.0,0.0,14,11.0
"Wu, Dylan",SEDGEFIELD,1,8,-2.158,51.0,51.0,0.0,51,107.0
"Highsmith, Joe",SEDGEFIELD,1,4,-1.075,,,100.0,CUT,92.0
"Hojgaard, Rasmus",SEDGEFIELD,1,4,0.796,34.0,34.0,0.0,34,30.0
"Schenk, Adam",SEDGEFIELD,1,20,-1.297,64.0,64.0,0.0,64,97.0
"Li, Haotong",SEDGEFIELD,1,2,-1.254,,,100.0,CUT,95.0
"Fisk, Steven",SEDGEFIELD,1,4,-0.204,60.0,60.0,0.0,60,77.0
"Kirk, Chris",SEDGEFIELD,1,18,1.104,,,100.0,CUT,23.0
"Rozo, Marcelo",SEDGEFIELD,0,0,,,,,,
"Davis, Cam",SEDGEFIELD,1,10,0.657,7.0,7.0,0.0,7,33.0
"Tosti, Alejandro",SEDGEFIELD,1,2,-2.589,,,100.0,CUT,109.0
"Hirata, Kensei",SEDGEFIELD,0,0,,,,,,
"Smalley, Alex",SEDGEFIELD,1,14,0.682,,,100.0,CUT,32.0
"Power, Seamus",SEDGEFIELD,1,25,-0.014,60.0,60.0,0.0,60,69.0
"Olesen, Thorbjorn",SEDGEFIELD,1,6,-0.499,,,100.0,CUT,83.0
"Schmid, Matti",SEDGEFIELD,1,12,0.471,22.0,22.0,0.0,22,49.0
"Pan, C.T.",SEDGEFIELD,1,24,0.353,64.0,64.0,0.0,64,57.0
"Sargent, Gordon",SEDGEFIELD,1,2,-1.561,,,100.0,CUT,101.0
"Blanchet, Chandler",SEDGEFIELD,0,0,,,,,,
"Rodgers, Patrick",SEDGEFIELD,1,27,0.55,,,100.0,CUT,42.0
"Ramey, Chad",SEDGEFIELD,1,10,-0.766,,,100.0,CUT,89.0
"VanDerLaan, John",SEDGEFIELD,0,0,,,,,,
"Kizzire, Patton",SEDGEFIELD,1,24,0.255,,,100.0,CUT,61.0
"Lamprecht, Christo",SEDGEFIELD,0,0,,,,,,
"Straka, Sepp",SEDGEFIELD,1,12,-0.482,,,100.0,CUT,82.0
"Walker, Danny",SEDGEFIELD,1,2,-1.561,,,100.0,CUT,102.0
"Hrabak, Cooper",SEDGEFIELD,0,0,,,,,,
