Source,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Implied Probability,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID
PrizePicks,PGA,255020,Viktor Hovland,G,Viktor Hovland,Hole 10 thru 18 Shots,34.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Viktor_Hovland_GOLF_player_c8r9f96S92x1XHGSwd2gEMeL-450.webp,13812256
PrizePicks,PGA,332364,Ludvig Åberg,G,Ludvig Åberg,Hole 10 thru 18 Shots,34.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Ludvig_Aberg_GOLF_player_NZqFPUbrcvfl0Ozc6emXsNFr-450.webp,13812257
PrizePicks,PGA,262019,Alex Smalley,G,Alex Smalley,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Alex_Smalley_GOLF_player_EpPiKMtQ6IOBZ5YTBn5v6B6U-450.webp,13812243
PrizePicks,PGA,255019,Hideki Matsuyama,G,Hideki Matsuyama,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/manual/Hideki.png,13812244
PrizePicks,PGA,255015,Sungjae Im,G,Sungjae Im,Hole 10 thru 18 Shots,35,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Sungjae_Im_GOLF_player_LHYrjRQRsH58VSLMqHElDwzg-450.webp,13812255
PrizePicks,PGA,255039,Scottie Scheffler,G,Scottie Scheffler,Hole 10 thru 18 Shots,33.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Scottie_Scheffler_GOLF_player_Eu9MFPkOcItbZPw1Qnxkwiak-450.webp,13812254
PrizePicks,PGA,267210,Patrick Rodgers,G,Patrick Rodgers,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Patrick_Rodgers_GOLF_player_HT89a50B1paRYfiwXt87kL0Z-450.webp,13812241
PrizePicks,PGA,267949,Adam Scott,G,Adam Scott,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/golf/Adam_Scott_45be1496-ea36-4c0c-8573-4a457ab70573.webp,13812242
PrizePicks,PGA,267946,Wyndham Clark,G,Wyndham Clark,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/manual/blowpig.png,13812239
PrizePicks,PGA,292436,Jake Knapp,G,Jake Knapp,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Jake_Knapp_GOLF_player_Efd08jbqdLeMZKNzxY9BJHgV-450.webp,13812238
PrizePicks,PGA,303714,Sudarshan Yellamaraju,G,Sudarshan Yellamaraju,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/manual/Yellamlarj.png,13812235
PrizePicks,PGA,262017,Keith Mitchell,G,Keith Mitchell,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Keith_Mitchell_GOLF_player_9xCLFvFpwMl2U57TMmZwOMSM-450.webp,13812236
PrizePicks,PGA,255025,Brian Harman,G,Brian Harman,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Brian_Harman_GOLF_player_rCZrRspNZ4V8DytmIkHooetI-450.webp,13812233
PrizePicks,PGA,284269,Jordan Spieth,G,Jordan Spieth,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/golf/Jordan_Spieth_3e4963cb-6e80-4393-85cf-2aecec453c4a.webp,13812234
PrizePicks,PGA,255015,Sungjae Im,G,Sungjae Im,Hole 16 Shots,4.5,N/A,N/A,2026-08-15,6:25 AM,pre_game,PGA,standard,https://static.prizepicks.com/images/players/PGA/Sungjae_Im_GOLF_player_LHYrjRQRsH58VSLMqHElDwzg-450.webp,13812228
