player_name,name_adjusted,salary,event_name,date_start,course_name,tour,cut_streak,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rflst5,rflst10,value,value_avg,rf_sg_starts,missed_cuts_7,cut_pct,starts_count,updated_at,value_rank,rflst5_rank,rflst10_rank
"Nyholm, Pontus","Nyholm, Pontus",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-3.31),T39 (+0.51),T69 (-0.50),T55 (-0.26),T26 (+1.23),CUT (-2.72),CUT (-0.86),52.2,58.0,-5.91,-0.84,7,3,61.3,124,2026-08-08T16:28:51.582696Z,113,72,115
"Sargent, Gordon","Sargent, Gordon",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T45 (+0.45),CUT (-0.01),T2 (+3.00),CUT (-0.44),78 (-2.27),CUT (-5.45),CUT (-1.26),53.8,55.6,-6.0,-0.86,7,4,39.4,33,2026-08-08T16:29:05.316079Z,114,81,101
"Day, Jason","Day, Jason",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-1.11),T55 (-0.98),CUT (-1.41),T65 (-0.13),68 (-2.38),T38 (-0.15),T42 (+0.04),66.4,48.9,-6.11,-0.87,7,2,74.3,187,2026-08-08T16:28:04.660655Z,115,128,69
"Springer, Hayden","Springer, Hayden",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.81),CUT (-0.01),T24 (+1.25),CUT (-1.94),T58 (-0.02),CUT (-2.72),CUT (-1.86),59.6,54.0,-6.12,-0.87,7,5,59.5,84,2026-08-08T16:29:13.571848Z,116,100,93
"Whaley, Vince","Whaley, Vince",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (+0.19),T34 (+0.76),CUT (-1.67),CUT (-0.94),CUT (-1.42),T65 (-0.75),CUT (-2.36),64.4,67.5,-6.2,-0.89,7,5,62.7,118,2026-08-08T16:29:25.786368Z,117,119,139
"Dunlap, Nick","Dunlap, Nick",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-3.31),CUT (-1.51),T20 (+1.50),T59 (-0.51),T33 (+0.98),CUT (-3.22),T60 (-0.25),51.2,50.1,-6.32,-0.9,7,3,51.4,70,2026-08-08T16:28:05.844514Z,118,68,75
"Olesen, Thorbjorn","Olesen, Thorbjorn",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T38 (+0.95),CUT (-2.01),CUT (-0.21),CUT (-3.42),CUT (-0.72),T67 (-0.75),T62 (-0.45),65.2,59.0,-6.61,-0.94,7,4,71.9,210,2026-08-08T16:28:52.467102Z,119,124,120
"Stevens, Sam","Stevens, Sam",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.81),T60 (-0.99),CUT (-0.11),CUT (-1.71),T62 (-1.48),T7 (+2.39),CUT (-3.91),67.6,59.4,-6.62,-0.95,7,4,75.2,141,2026-08-08T16:29:14.736367Z,120,132,121
"Vilips, Karl","Vilips, Karl",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T65 (-0.55),CUT (-2.01),T30 (+0.97),T39 (+0.73),CUT (-0.72),CUT (-4.86),CUT (-0.45),55.6,49.2,-6.89,-0.98,7,4,60.0,50,2026-08-08T16:29:23.086031Z,121,83,71
"Hubbard, Mark","Hubbard, Mark",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,2,T61 (-0.30),T34 (+0.76),CUT (-2.21),T46 (+0.48),70 (-2.98),CUT (-2.41),T60 (-0.25),56.6,52.0,-6.91,-0.99,7,2,64.6,246,2026-08-08T16:28:25.473134Z,122,89,88
"Stanger, Jimmy","Stanger, Jimmy",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.31),T51 (+0.01),CUT (-3.17),WD (-4.82),CUT (-0.42),CUT (-0.74),T4 (+2.50),69.4,60.5,-6.95,-0.99,7,4,47.6,147,2026-08-08T16:29:14.174228Z,123,137,123
"Novak, Andrew","Novak, Andrew",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-3.81),CUT (-0.11),T61 (-0.53),CUT (-1.92),T30 (+0.27),CUT (+0.26),CUT (-1.41),61.4,55.5,-7.24,-1.03,7,5,59.1,193,2026-08-08T16:28:51.028251Z,124,110,100
"Jaeger, Stephan","Jaeger, Stephan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T26 (+1.45),CUT (-0.01),CUT (-0.17),T15 (+1.49),T15 (+1.73),CUT (-5.72),WD (-6.24),40.0,45.1,-7.48,-1.07,7,3,64.8,253,2026-08-08T16:28:28.658280Z,125,37,44
"Li, Haotong","Li, Haotong",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.81),T57 (-0.74),CUT (-1.61),CUT (-1.71),CUT (-0.92),T60 (-0.50),CUT (-1.36),69.0,65.6,-7.64,-1.09,7,5,56.0,184,2026-08-08T16:28:37.559519Z,126,136,133
"Coody, Pierceson","Coody, Pierceson",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-1.81),CUT (-4.01),T28 (+1.16),CUT (-1.71),T39 (+0.73),T23 (+1.39),CUT (-3.41),56.6,49.1,-7.66,-1.09,7,4,62.1,124,2026-08-08T16:28:02.028926Z,127,89,70
"VanDerLaan, John","VanDerLaan, John",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-1.31),T39 (+0.51),T30 (+1.00),CUT (-0.44),CUT (-2.42),CUT (-4.72),CUT (-0.36),57.0,62.8,-7.74,-1.11,7,5,62.9,167,2026-08-08T16:29:22.720256Z,128,94,129
"Schenk, Adam","Schenk, Adam",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T50 (+0.20),CUT (-0.01),CUT (-0.44),CUT (-2.42),CUT (-1.22),T74 (-1.50),CUT (-2.45),67.6,70.0,-7.84,-1.12,7,5,56.4,280,2026-08-08T16:29:06.418077Z,129,132,142
"Svensson, Adam","Svensson, Adam",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,70 (-1.05),CUT (-1.01),CUT (-3.67),T66 (-1.01),CUT (-0.42),T60 (-0.50),CUT (-0.86),70.4,60.9,-8.53,-1.22,7,4,62.9,256,2026-08-08T16:29:18.039437Z,130,139,124
"Campbell, Brian","Campbell, Brian",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T61 (-0.30),CUT (-0.01),CUT (-3.21),CUT (-1.42),T47 (-0.48),CUT (-1.72),CUT (-1.41),64.8,67.4,-8.55,-1.22,7,5,52.0,173,2026-08-08T16:27:58.369450Z,131,122,138
"Pan, C.T.","Pan, C.T.",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,WD (-5.15),T21 (+1.18),T57 (-0.10),T69 (-1.60),CUT (-1.95),T68 (-0.98),T57 (-0.09),59.8,57.1,-8.68,-1.24,7,1,58.7,189,2026-08-08T16:28:53.237622Z,132,103,110
"Davis, Cam","Davis, Cam",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-2.31),CUT (-2.01),T21 (+1.47),CUT (-2.72),CUT (-0.86),CUT (-1.45),T67 (-0.83),61.8,66.4,-8.7,-1.24,7,5,62.9,116,2026-08-08T16:28:03.906176Z,133,114,136
"Ramey, Chad","Ramey, Chad",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-3.31),CUT (-1.01),T62 (-0.00),T30 (+0.99),CUT (-3.42),CUT (-2.22),CUT (-0.36),61.6,61.5,-9.33,-1.33,7,5,61.1,208,2026-08-08T16:29:01.046369Z,134,111,126
"Malnati, Peter","Malnati, Peter",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T68 (-0.80),CUT (-4.51),T34 (+0.75),CUT (-1.94),T58 (-0.02),CUT (-4.72),T19 (+1.30),60.8,58.3,-9.95,-1.42,7,3,51.4,253,2026-08-08T16:28:41.413975Z,135,109,116
"Collet, Tyler","Collet, Tyler",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-2.67),CUT (-0.94),CUT (-0.56),T75 (-2.08),— (-0.35),CUT (-2.91),CUT (-0.55),72.6,71.9,-10.07,-1.44,7,5,13.3,15,2026-08-08T16:28:01.531470Z,136,145,145
"Huskey, Keenan","Huskey, Keenan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-6.31),T42 (+0.50),CUT (-2.78),CUT (-1.57),CUT (-0.56),T62 (-0.28),T37 (+0.78),66.0,62.1,-10.22,-1.46,7,4,36.6,41,2026-08-08T16:28:26.646743Z,137,127,128
"Campos, Rafael","Campos, Rafael",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-1.31),CUT (-2.51),CUT (-0.17),T15 (+1.49),T67 (-0.77),CUT (-3.72),CUT (-3.44),59.6,65.8,-10.44,-1.49,7,5,40.8,201,2026-08-08T16:27:59.179014Z,138,100,134
"Smotherman, Austin","Smotherman, Austin",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-6.81),T24 (+1.26),CUT (-3.21),T58 (-0.02),CUT (-1.22),T42 (+0.25),CUT (-1.06),59.6,56.3,-10.81,-1.54,7,4,59.8,174,2026-08-08T16:29:11.628932Z,139,100,106
"Tosti, Alejandro","Tosti, Alejandro",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-6.81),CUT (-2.51),T69 (-0.50),T30 (+0.99),CUT (-2.42),CUT (-1.24),T40 (+0.75),63.0,64.3,-11.74,-1.68,7,4,47.1,102,2026-08-08T16:29:21.739071Z,140,116,130
"Rozo, Marcelo","Rozo, Marcelo",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,73 (-2.30),CUT (-0.01),CUT (-0.67),CUT (-4.94),CUT (-1.42),CUT (-1.24),CUT (-1.22),72.2,70.2,-11.81,-1.69,7,6,45.7,140,2026-08-08T16:29:04.469525Z,141,144,144
"Hirata, Kensei","Hirata, Kensei",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.31),CUT (-5.01),CUT (-2.17),CUT (-1.94),CUT (-0.92),T71 (-1.50),CUT (-1.36),72.0,65.9,-13.22,-1.89,7,6,53.8,52,2026-08-08T16:28:18.901904Z,142,141,135
"Rodgers, Patrick","Rodgers, Patrick",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,WD (-7.80),CUT (-3.01),71 (-1.61),T49 (-1.64),T60 (-0.25),T47 (+0.30),CUT (-1.06),66.4,55.6,-15.07,-2.15,7,2,63.0,270,2026-08-08T16:29:02.840230Z,143,128,101
"McGirt, William","McGirt, William",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T79 (-1.50),CUT (-1.94),CUT (-3.22),CUT (-8.29),CUT (-1.28),T50 (+0.20),CUT (-0.94),73.4,67.5,-16.98,-2.43,7,5,48.6,142,2026-08-08T16:28:44.599038Z,144,146,139
"Walker, Danny","Walker, Danny",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-1.81),CUT (-2.51),CUT (-3.17),T39 (+0.49),CUT (-6.92),CUT (-2.22),CUT (-0.86),65.4,65.3,-17.0,-2.43,7,6,49.5,93,2026-08-08T16:29:24.272830Z,145,125,132
"Kizzire, Patton","Kizzire, Patton",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-2.81),WD (-6.93),T39 (+0.49),CUT (-1.92),CUT (-4.22),CUT (-4.36),CUT (-0.45),67.0,69.5,-20.19,-2.88,7,5,53.3,244,2026-08-08T16:28:32.973350Z,146,130,141
"Lamprecht, Christo","Lamprecht, Christo",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-3.31),CUT (-1.51),CUT (-5.67),T64 (-0.76),CUT (-4.92),CUT (-2.72),CUT (-1.36),70.4,70.0,-20.25,-2.89,7,6,49.2,63,2026-08-08T16:28:35.875128Z,147,139,142
