tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,outright_season,outright_event_completed,outright_book,outright_market,outright_open_odds,outright_open_time,outright_close_odds,outright_close_time,outright_outcome,outright_bet_outcome_text,outright_bet_outcome_numeric,dfs_season,dfs_site,dfs_ownerships_from,dfs_salary,dfs_ownership,dfs_fin_text,dfs_streak_pts,dfs_bogey_free_pts,dfs_hole_in_one_pts,dfs_sub_70_pts,dfs_hole_score_pts,dfs_finish_pts,dfs_total_pts,Birdie Or Better %,Birdie to Bogey Ratio,Bogey Avoidance %,Field Sum Eagles or Better,Field Sum Birdies,Field Sum Bogies,Field Sum Doubles or Worse,Field Num Players,Field Birdie or Better %,Field Birdie to Bogey Ratio,Field Bogey Avoidance %,SG_Birdie or Better %,sg_birdie_to_bogey_ratio,sg_bogey_avoidance,sg_driving_dist,sg_driving_acc,sg_gir,Total Driving,Ball Striking,Field Avg Dist,Field Avg Acc,Field Avg GIR,Norm SG Distance,Norm Fairways Gained,Norm Greens Gained,Norm SG Birdie or Better %,Norm SG Birdie to Bogey Ratio,Norm SG Bogey Avoidance,Field Prox FW,SG Prox FW,Norm SG Prox FW,Name Adjusted,LOCATION,DESIGNER,Redesigned,STYLE,GREENS,GREENS (2),GREEN SPEEDS,GREEN SIZE,FAIRWAYS,FAIRWAY LENGTH (sg.ft.),ROUGH LENGH,ROUGH ACRES (sg.ft.),DRAINAGE,YARDAGE,LENGTH,PAR,Bunkers,Water Hazards,Water Hazards in Play,SCORING,WEATHER,WEATHER DETAILS,TYPE,CUT,WINNING SCORE,WINNER,GD%,GG GAINED,B2B,BOB,EGG,EDG,Total Accuracy,200+,200-175,175-150,150-125,125-,PAR 4,PAR 5,Rounds,Sum TD,Sum BS,FAIRWAY WIDTH,GREEN WIDTH,GREEN SPEEDS,ROUGH LENGTH,WATER HAZARDS,ROUGH AMOUNT,BUNKERS,RAIN
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Hojgaard, Nicolai",23602,T65,4,emirates gc,4565,72,1,8:45:00 AM,74,,,,,,-1.899,,,,,,,,,0,4,9,4,1,2025,45676,draftkings,win,55/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8700,,T65,0,0,0,0,52.5,0,52.5,22.22222222,0.8,72.22222222,5,281,220,38,79,20.11251758,1.108527132,81.85654008,2.109704641,-0.308527132,-9.634317862,0.143910431,0,0,0.009816641,0.009816641,,,,0.009816641,0,0,0.216215487,-0.308527132,-0.922879155,,0.009816641,0,Nicolai Hojgaard,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Ko, Jeong Weon",26213,T68,2,emirates gc,4565,72,1,8:05:00 AM,69,,,,,,2.984,,,,,,,,,1,4,10,3,0,2025,45676,draftkings,win,1/1/1000,45670,1/1/1500,45672,T68,loss,0,2025,draftkings,,6100,,T68,0,0,0,0,59,0,59,27.77777778,1.666666667,83.33333333,22,425,343,58,125,19.86666667,1.114713217,82.17777778,7.911111111,0.55195345,1.155555556,0.539644929,0,0,0.036811093,0.036811093,,,,0.036811093,0,0,0.872201249,0.55195345,0.12895773,,0.036811093,0,Jeong Weon Ko,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Hojgaard, Nicolai",23602,T65,3,emirates gc,4565,72,1,7:15:00 AM,72,,,,,,0.595,,,,,,,,,0,3,12,3,0,2025,45676,draftkings,win,55/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8700,,T65,0,0,0,0,52.5,0,52.5,16.66666667,1,83.33333333,6,261,259,29,79,18.77637131,0.927083333,79.74683544,-2.109704641,0.072916667,3.58649789,-0.143910431,0,0,-0.009816641,-0.009816641,,,,-0.009816641,0,0,-0.232207588,0.072916667,0.375884809,,-0.009816641,0,Nicolai Hojgaard,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Hojgaard, Nicolai",23602,T65,1,emirates gc,4565,72,10,8:15:00 AM,72,,,,,,-0.664,,,,,,,,,0,2,14,2,0,2025,45676,draftkings,win,55/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8700,,T65,0,0,0,0,52.5,0,52.5,11.11111111,1,88.88888889,13,449,300,43,125,20.53333333,1.346938776,84.75555556,-9.422222222,-0.346938776,4.133333333,-0.642723174,0,0,-0.043842426,-0.043842426,,,,-0.043842426,0,0,-1.075339778,-0.346938776,0.486663296,,-0.043842426,0,Nicolai Hojgaard,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Smith, Jordan",18586,T65,4,emirates gc,4565,72,1,9:25:00 AM,76,,,,,,-3.899,,,,,,,,,0,2,12,2,2,2025,45676,draftkings,win,45/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8600,,T65,3,0,0,0,59.5,0,62.5,11.11111111,0.5,77.77777778,5,281,220,38,79,20.11251758,1.108527132,81.85654008,-9.00140647,-0.608527132,-4.078762307,-0.61401784,0,0,-0.041884333,-0.041884333,,,,-0.041884333,0,0,-0.922519412,-0.608527132,-0.390707963,,-0.041884333,0,Jordan Smith,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Smith, Jordan",18586,T65,3,emirates gc,4565,72,1,7:25:00 AM,70,,,,,,2.595,,,,,,,,,0,5,10,3,0,2025,45676,draftkings,win,45/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8600,,T65,3,0,0,0,59.5,0,62.5,27.77777778,1.666666667,83.33333333,6,261,259,29,79,18.77637131,0.927083333,79.74683544,9.00140647,0.739583333,3.58649789,0.61401784,0,0,0.041884333,0.041884333,,,,0.041884333,0,0,0.990752374,0.739583333,0.375884809,,0.041884333,0,Jordan Smith,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Smith, Jordan",18586,T65,2,emirates gc,4565,72,1,12:15:00 PM,72,,,,,,-0.016,,,,,,,,,0,3,12,3,0,2025,45676,draftkings,win,45/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8600,,T65,3,0,0,0,59.5,0,62.5,16.66666667,1,83.33333333,22,425,343,58,125,19.86666667,1.114713217,82.17777778,-3.2,-0.114713217,1.155555556,-0.218283342,0,0,-0.01488988,-0.01488988,,,,-0.01488988,0,0,-0.352800505,-0.114713217,0.12895773,,-0.01488988,0,Jordan Smith,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Smith, Jordan",18586,T65,1,emirates gc,4565,72,10,7:55:00 AM,72,,,,,,-0.664,,,,,,,,,0,6,7,4,1,2025,45676,draftkings,win,45/1,45670,50/1,45672,T65,loss,0,2025,draftkings,,8600,,T65,3,0,0,0,59.5,0,62.5,33.33333333,1.2,72.22222222,13,449,300,43,125,20.53333333,1.346938776,84.75555556,12.8,-0.146938776,-12.53333333,0.873133368,0,0,0.059559522,0.059559522,,,,0.059559522,0,0,1.460838944,-0.146938776,-1.475688704,,0.059559522,0,Jordan Smith,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dantorp, Jens",14018,T65,4,emirates gc,4565,72,1,7:20:00 AM,72,,,,,,0.101,,,,,,,,,0,4,10,4,0,2025,45676,draftkings,win,1/1/1000,45670,1/1/1000,45672,T65,loss,0,2025,draftkings,,6100,,T65,0,0,0,0,54,0,54,22.22222222,1,77.77777778,5,281,220,38,79,20.11251758,1.108527132,81.85654008,2.109704641,-0.108527132,-4.078762307,0.143910431,0,0,0.009816641,0.009816641,,,,0.009816641,0,0,0.216215487,-0.108527132,-0.390707963,,0.009816641,0,Jens Dantorp,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dantorp, Jens",14018,T65,3,emirates gc,4565,72,1,7:55:00 AM,74,,,,,,-1.405,,,,,,,,,0,3,10,5,0,2025,45676,draftkings,win,1/1/1000,45670,1/1/1000,45672,T65,loss,0,2025,draftkings,,6100,,T65,0,0,0,0,54,0,54,16.66666667,0.6,72.22222222,6,261,259,29,79,18.77637131,0.927083333,79.74683544,-2.109704641,-0.327083333,-7.524613221,-0.143910431,0,0,-0.009816641,-0.009816641,,,,-0.009816641,0,0,-0.232207588,-0.327083333,-0.78862107,,-0.009816641,0,Jens Dantorp,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dantorp, Jens",14018,T65,2,emirates gc,4565,72,1,7:05:00 AM,74,,,,,,-2.016,,,,,,,,,0,1,15,1,1,2025,45676,draftkings,win,1/1/1000,45670,1/1/1000,45672,T65,loss,0,2025,draftkings,,6100,,T65,0,0,0,0,54,0,54,5.555555556,0.5,88.88888889,22,425,343,58,125,19.86666667,1.114713217,82.17777778,-14.31111111,-0.614713217,6.711111111,-0.976211613,0,0,-0.066590854,-0.066590854,,,,-0.066590854,0,0,-1.577802259,-0.614713217,0.748946819,,-0.066590854,0,Jens Dantorp,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Dantorp, Jens",14018,T65,1,emirates gc,4565,72,10,11:25:00 AM,70,,,,,,1.336,,,,,,,,,0,5,10,3,0,2025,45676,draftkings,win,1/1/1000,45670,1/1/1000,45672,T65,loss,0,2025,draftkings,,6100,,T65,0,0,0,0,54,0,54,27.77777778,1.666666667,83.33333333,13,449,300,43,125,20.53333333,1.346938776,84.75555556,7.244444444,0.319727891,-1.422222222,0.494169233,0,0,0.033709035,0.033709035,,,,0.033709035,0,0,0.826794263,0.319727891,-0.167454037,,0.033709035,0,Jens Dantorp,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
euro,2025,2025,1/19/2025,Hero Dubai Desert Classic,2025106,"Otaegui, Adrian",14975,T58,4,emirates gc,4565,72,1,8:35:00 AM,73,,,,,,-0.899,,,,,,,,,0,3,12,2,1,2025,45676,draftkings,win,150/1,45670,200/1,45672,T58,loss,0,2025,draftkings,,7200,,T58,0,0,0,0,55.5,0,55.5,16.66666667,1,83.33333333,5,281,220,38,79,20.11251758,1.108527132,81.85654008,-3.445850914,-0.108527132,1.476793249,-0.235053704,0,0,-0.016033846,-0.016033846,,,,-0.016033846,0,0,-0.353151963,-0.108527132,0.141463228,,-0.016033846,0,Adrian Otaegui,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMALL,SMALL,,,,,,NO
