PLAYER,LOCATION,Latitude,Longitude,DISTANCE (miles),COMBINE,Local Ties,TOURNAMENT LOCATION,Latitude Tournament,Longitude Tournament,TYPE
Harris English,"Valdosta, Georgia",30.8327° N,83.2785° W,400.5467005,Harris EnglishNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Max Greyserman,"Short Hills, New Jersey",40.7487° N,74.3255° W,234.5503658,Max GreysermanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Denny McCarthy,"Cincinnati, Ohio",39.1031° N,84.5120° W,120.3918789,Denny McCarthyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brian Harman,"Savannah, Georgia",32.0809° N,81.0912° W,361.7248645,Brian HarmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Justin Rose,"Johannesburg, South Africa",26.2041° S,28.0473° E,4231.577683,Justin RoseNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
J.T. Poston,"Hickory, North Carolina",35.7332° N,81.3412° W,236.1133789,J.T. PostonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Taylor Pendrith,"Richmond Hill, Ontario",43.8828° N,79.4403° W,105.6316607,Taylor PendrithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Lucas Glover,"Greenville, South Carolina",34.8526° N,82.3940° W,262.3907378,Lucas GloverNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Stephan Jaeger,"Munich, Germany",48.1351° N,11.5820° E,2158.664447,Stephan JaegerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matthieu Pavon,"Toulouse, France",43.6047° N,1.4442° E,2036.372761,Matthieu PavonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Austin Eckroat,"Edmond, Oklahoma",35.6528° N,97.4781° W,449.7131585,Austin EckroatNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Rasmus Højgaard,"Billund, Denmark",55.7333° N,9.1167° E,1977.109727,Rasmus HøjgaardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Nico Echavarria,"Medellín, Colombia",6.2442° N,75.5812° W,1271.131429,Nico EchavarriaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Cameron Young,"Scarborough, New York",41.1362° N,73.8587° W,242.7388813,Cameron YoungNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Davis Thompson,"Auburn, Alabama",32.6099° N,85.4808° W,345.1692758,Davis ThompsonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Cam Davis,"Sydney, Australia",33.8688° S,151.2093° E,4738.642087,Cam DavisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Corey Conners,"Listowel, Ontario",43.7334° N,80.9536° W,71.02034675,Corey ConnersPossible,Possible,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Christiaan Bezuidenhout,"Delmas, South Africa",26.1466° S,28.6827° E,4246.509401,Christiaan BezuidenhoutNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Daniel Berger,"Plantation, Florida",26.1276° N,80.2331° W,568.9991296,Daniel BergerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Laurie Canter,"Bath, England",51.3758° N,2.3599° W,1833.007425,Laurie CanterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jon Rahm,"Barrika, Spain",43.4069° N,2.9618° W,1944.150354,Jon RahmNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Min Woo Lee,"Perth, Australia",31.9505° S,115.8605° E,5585.191653,Min Woo LeeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt McCarty,"Scottsdale, Arizona",33.4942° N,111.9261° W,837.9126407,Matt McCartyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ben Griffin,"Chapel Hill, North Carolina",35.9132° N,79.0558° W,249.9475621,Ben GriffinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Eric Cole,"Orlando, Florida",28.5383° N,81.3792° W,482.2687471,Eric ColeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Thriston Lawrence,"Nelspruit, South Africa",25.4753° S,30.9694° E,4291.101615,Thriston LawrenceNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Fitzpatrick,"Sheffield, England",53.3811° N,1.4701° W,1822.156769,Matt FitzpatrickNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Alex Noren,"Stockholm, Sweden",59.3293° N,18.0686° E,2056.403992,Alex NorenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jhonattan Vegas,"Maturín, Venezuela",9.7457° N,63.1832° W,1280.107363,Jhonattan VegasNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Max Homa,"Burbank, California",34.1808° N,118.3090° W,987.5253674,Max HomaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Mackenzie Hughes,"Dundas, Ontario",,,,Mackenzie HughesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Si Woo Kim,"Seoul, South Korea",37.5665° N,126.9780° E,3297.267117,Si Woo KimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Will Zalatoris,"San Francisco, California",37.7749° N,122.4194° W,1041.260269,Will ZalatorisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tom Hoge,"Statesville, North Carolina",,,,Tom HogeNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Nicolai Højgaard,"Billund, Denmark",55.7333° N,9.1167° E,1977.109727,Nicolai HøjgaardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Adam Hadwin,"Moose Jaw, Saskatchewan",,,,Adam HadwinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jordan Spieth,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Jordan SpiethNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kevin Yu,"Taipei, Taiwan",25.0330° N,121.5654° E,3758.560812,Kevin YuNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Chris Kirk,"Knoxville, Tennessee",35.9606° N,83.9207° W,224.3782639,Chris KirkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Patrick Rodgers,"Avon, Indiana",39.7628° N,86.3997° W,125.4014069,Patrick RodgersNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Joaquin Niemann,"Santiago, Chile",33.4489° S,70.6693° W,2650.803806,Joaquin NiemannNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Wallace,"Hillingdon, England",51.5352° N,0.4481° W,1868.063328,Matt WallaceNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Sam Stevens,"Fort Worth, Texas",32.7555° N,97.3308° W,511.4035986,Sam StevensNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew Novak,"Raleigh, North Carolina",35.7796° N,78.6382° W,259.1376517,Andrew NovakNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Taylor Moore,"San Angelo, Texas",31.4638° N,100.4370° W,607.7494224,Taylor MooreNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Michael Kim,"Toronto, Ontario",43.6532° N,79.3832° W,103.5661663,Michael KimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Thorbjørn Olesen,"Furesø, Denmark",55.7833° N,12.3833° E,2031.382039,Thorbjørn OlesenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
J.J. Spaun,"Los Angeles, California",34.0522° N,118.2437° W,987.9094537,J.J. SpaunNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Beau Hossler,"Mission Viejo, California",33.6000° N,117.6720° W,980.7169932,Beau HosslerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
David Puig,"La Garriga, Spain",41.6864° N,2.2865° E,2089.331827,David PuigNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Justin Lower,"Akron, Ohio",41.0814° N,81.5190° W,62.24291763,Justin LowerPossible,Possible,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Rasmus Neergaard-Petersen,"Copenhagen, Denmark",55.6761° N,12.5683° E,2036.371671,Rasmus Neergaard-PetersenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Lee Hodges,"Huntsville, Alabama",34.7304° N,86.5861° W,281.743645,Lee HodgesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Erik van Rooyen,"Bellville, South Africa",33.9001° S,18.6285° E,4148.145005,Erik van RooyenNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Harry Hall,"Truro, England",,,,Harry HallNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kurt Kitayama,"Chico, California",39.7285° N,121.8375° W,1003.685701,Kurt KitayamaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Niklas Nørgaard,"Aarhus, Denmark",56.1581° N,10.2114° E,1988.543934,Niklas NørgaardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
John Parry,"Harrogate, England",53.9921° N,1.5418° W,1812.496449,John ParryNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Romain Langasque,"Saint-Raphaël, France",43.4253° N,6.7680° E,2152.500384,Romain LangasqueNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Max McGreevy,"Norman, Oklahoma",35.1966° N,97.4458° W,458.3549788,Max McGreevyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Luke Clanton,"Hialeah, Florida",25.8576° N,80.2781° W,578.0676134,Luke ClantonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Rickie Fowler,"Murrieta, California",33.5539° N,117.2139° W,969.8744935,Rickie FowlerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Victor Perez,"Tarbes, France",43.2329° N,0.0781° E,2013.461447,Victor PerezNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brian Campbell,"Orange, California",,,,Brian CampbellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Cameron Smith,"Brisbane, Australia",27.4705° S,153.0260° E,4578.55419,Cameron SmithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jake Knapp,"Costa Mesa, California",33.6411° N,117.9187° W,986.2963629,Jake KnappNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Keith Mitchell,"Chattanooga, Tennessee",35.0456° N,85.3097° W,261.6554255,Keith MitchellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Charley Hoffman,"San Diego, California",32.7157° N,117.1611° W,982.6493117,Charley HoffmanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matteo Manassero,"Verona, Italy",45.4384° N,10.9916° E,2199.727098,Matteo ManasseroNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ryan Fox,"Auckland, New Zealand",36.8485° S,174.7633° E,4211.444978,Ryan FoxNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jordan Smith,"Bath, England",51.3758° N,2.3599° W,1833.007425,Jordan SmithNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Doug Ghim,"Des Plaines, Illinois",42.0334° N,87.8834° W,122.4297784,Doug GhimNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Shaun Norris,"Port Elizabeth, South Africa",,,,Shaun NorrisNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Kensei Hirata,"Tokyo, Japan",35.6762° N,139.6503° E,3201.644467,Kensei HirataNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jesper Svensson,"Stockholm, Sweden",59.3293° N,18.0686° E,2056.403992,Jesper SvenssonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Aldrich Potgieter,"Mossel Bay, South Africa",34.1832° S,22.1460° E,4238.083275,Aldrich PotgieterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ryo Hisatsune,"Ibaraki, Japan",36.3418° N,140.4468° E,3170.553065,Ryo HisatsuneNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Adam Schenk,"Vincennes, Indiana",38.6773° N,87.5286° W,173.5249102,Adam SchenkNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Mark Hubbard,"Denver, Colorado",39.7392° N,104.9903° W,575.2117297,Mark HubbardNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Patrick Fishburn,"Ogden, Utah",41.2230° N,111.9738° W,740.2438208,Patrick FishburnNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Paul Waring,"Birkenhead, England",53.3890° N,3.0230° W,1792.583768,Paul WaringNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Tom McKibbin,"Newtownabbey, Northern Ireland",54.6792° N,5.9046° W,1722.017018,Tom McKibbinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jorge Campillo,"Cáceres, Spain",,,,Jorge CampilloNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
C.T. Pan,"Taipei, Taiwan",25.0330° N,121.5654° E,3758.560812,C.T. PanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matti Schmid,"Regensburg, Germany",49.0134° N,12.1016° E,2151.594226,Matti SchmidNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Seamus Power,"Waterford, Ireland",52.2593° N,7.1101° W,1727.634001,Seamus PowerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Patrick Reed,"San Antonio, Texas",29.4241° N,98.4936° W,619.8079488,Patrick ReedNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Patton Kizzire,"Tuscaloosa, Alabama",33.2098° N,87.5692° W,340.5742503,Patton KizzireNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Julien Guerrier,"Évreux, France",,,,Julien GuerrierNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matthew Jordan,"Wirral, England",53.3727° N,3.0738° W,1791.831199,Matthew JordanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Daniel Brown,"Northallerton, England",54.3390° N,1.4324° W,1809.878796,Daniel BrownNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Sebastian Soderberg,"Gothenburg, Sweden",57.7089° N,11.9746° E,1991.273364,Sebastian SoderbergNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Vince Whaley,"Atlanta, Georgia",33.7490° N,84.3880° W,301.72143,Vince WhaleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Johannes Veerman,"Orange, California",,,,Johannes VeermanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Emiliano Grillo,"Resistencia, Argentina",27.4519° S,58.9868° W,2533.587489,Emiliano GrilloNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Matt Kuchar,"Winter Park, Florida",28.6000° N,81.3392° W,480.2614817,Matt KucharNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Antoine Rozner,"Paris, France",48.8566° N,2.3522° E,1965.174277,Antoine RoznerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
John Catlin,"Sacramento, California",38.5816° N,121.4944° W,1007.912474,John CatlinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Dean Burmester,"Bloemfontein, South Africa",29.0852° S,26.1596° E,4240.714069,Dean BurmesterNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Brendon Todd,"Pittsburgh, Pennsylvania",40.4406° N,79.9959° W,106.1912053,Brendon ToddNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Rico Hoey,"Rancho Cucamonga, California",34.1064° N,117.5931° W,970.5301515,Rico HoeyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Joseph Dean,"Wolverhampton, England",52.5862° N,2.1280° W,1820.558824,Joseph DeanNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Keita Nakajima,"Tokyo, Japan",35.6762° N,139.6503° E,3201.644467,Keita NakajimaNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Alex Smalley,"Greensboro, North Carolina",36.0726° N,79.7920° W,236.8802801,Alex SmalleyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Daniel Hillier,"Wellington, New Zealand",41.2865° S,174.7762° E,4289.08113,Daniel HillierNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Guido Migliozzi,"Vicenza, Italy",45.5455° N,11.5354° E,2208.413242,Guido MigliozziNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Luke List,"Seattle, Washington",47.6062° N,122.3321° W,963.3814057,Luke ListNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ben Kohles,"Dallas, Texas",32.7767° N,96.7970° W,499.9730235,Ben KohlesNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Davis Riley,"Hattiesburg, Mississippi",31.3271° N,89.2903° W,419.2766544,Davis RileyNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Frankie Capan III,"North Oaks, Minnesota",45.1027° N,93.0791° W,264.7556843,Frankie Capan IIINot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Peter Uihlein,"New Bedford, Massachusetts",41.6362° N,70.9342° W,313.7728321,Peter UihleinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Adam Svensson,"Surrey, British Columbia",49.1833° N,122.8490° W,972.687119,Adam SvenssonNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Andrew Putnam,"Tacoma, Washington",47.2529° N,122.4443° W,966.9208946,Andrew PutnamNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Peter Malnati,"New Castle, Indiana",39.9289° N,85.3702° W,104.1470015,Peter MalnatiNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Jang Yu Bin,"Seoul, South Korea",37.5665° N,126.9780° E,3297.267117,Jang Yu BinNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Ben Campbell,"Hastings, New Zealand",,,,Ben CampbellNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
Hayden Springer,"Nashville, Tennessee",36.1627° N,86.7816° W,237.3720848,Hayden SpringerNot Likely,Not Likely,"Detroit, MI",42.4263°N,83.1262°W,BIRTH LOCATION
